Pruning,Pruning Confidence,Boost Iterations,Iterations Performed,Training %,Test %,Train Time (s),Test Time (s)
Yes,0.125,10,9,97.70%,96.92%,0.12,0.00
Yes,0.125,50,9,97.70%,96.92%,0.17,0.00
Yes,0.125,100,9,97.70%,96.92%,0.13,0.00
Yes,0.250,10,10,98.69%,96.92%,0.12,0.00
Yes,0.250,50,18,98.69%,95.38%,0.17,0.00
Yes,0.250,100,18,98.69%,95.38%,0.18,0.00
Yes,0.500,10,10,98.69%,95.38%,0.18,0.00
Yes,0.500,50,50,100.00%,94.62%,0.38,0.01
Yes,0.500,100,72,100.00%,94.62%,0.38,0.01
No,-,10,10,100.00%,96.15%,0.11,0.00
No,-,50,19,100.00%,95.38%,0.18,0.01
No,-,100,19,100.00%,95.38%,0.17,0.01
