Pruning,Pruning Confidence,Boost Iterations,Training %,Test %,Train Time (s),Test Time (s)
Yes,0.125,10,100%,94.42%,5.03,0.04
Yes,0.125,50,100%,95.94%,22.90,0.16
Yes,0.125,100,100%,96.38%,45.20,0.38
Yes,0.250,10,100%,94.93%,5.54,0.04
Yes,0.250,50,100%,95.94%,24.61,0.28
Yes,0.250,100,100%,95.80%,47.05,0.40
Yes,0.500,10,100%,95.00%,5.00,0.03
Yes,0.500,50,100%,96.16%,23.22,0.18
Yes,0.500,100,100%,96.30%,45.45,0.38
No,-,10,100%,95.00%,3.71,0.03
No,-,50,100%,96.23%,25.20,0.19
No,-,100,100%,96.16%,38.91,0.48
