Weighted? ($$1/w$$),# Nearest Neighbors,Train %,Test %,Train Time (s),Test Time (s)
No,1,100.00%,89.35%,0.04,1.77
No,5,92.18%,90.07%,0.04,3.33
No,10,92.18%,90.07%,0.04,3.33
No,15,89.57%,89.06%,0.37,11.60
No,20,88.58%,87.68%,0.37,11.90
No,30,86.74%,87.75%,0.36,12.46
No,100,84.60%,84.13%,0.30,13.88
Yes,1,100.00%,89.35%,0.26,7.21
Yes,5,92.61%,89.86%,0.11,8.71
Yes,10,92.18%,90.07%,0.22,9.94
Yes,15,89.60%,89.06%,0.07,10.15
Yes,20,90.07%,88.99%,0.17,10.53
Yes,30,87.58%,88.41%,0.16,12.66
Yes,100,84.79%,84.28%,0.18,13.21
