"Iterations"	"Train Time (ms)"	"Test Time (ms)"	"Accuracy"	"True Positives"	"True Negatives"	"False Negatives"	"False Positives"
"5"	"2"	"0"	"0.396552"	"1"	"68"	"0"	"105"
"10"	"23"	"0"	"0.706897"	"101"	"22"	"46"	"5"
"20"	"115"	"4"	"0.287356"	"4"	"46"	"22"	"102"
"50"	"49"	"1"	"0.505747"	"21"	"67"	"1"	"85"
"100"	"170"	"0"	"0.885057"	"100"	"54"	"14"	"6"
"200"	"440"	"0"	"0.879310"	"93"	"60"	"8"	"13"
"500"	"635"	"0"	"0.896552"	"100"	"56"	"12"	"6"
"1000"	"1567"	"0"	"0.954023"	"102"	"64"	"4"	"4"
"2000"	"977"	"0"	"0.931034"	"99"	"63"	"5"	"7"
"3000"	"1477"	"0"	"0.948276"	"101"	"64"	"4"	"5"
"4000"	"3692"	"0"	"0.948276"	"101"	"64"	"4"	"5"
"5000"	"2398"	"0"	"0.936782"	"100"	"63"	"5"	"6"
"7000"	"3914"	"0"	"0.925287"	"101"	"60"	"8"	"5"
"10000"	"5490"	"0"	"0.936782"	"100"	"63"	"5"	"6"
"15000"	"7610"	"0"	"0.942529"	"100"	"64"	"4"	"6"
"20000"	"6857"	"0"	"0.931034"	"100"	"62"	"6"	"6"
