"Iterations"	"Train Time (ms)"	"Test Time (ms)"	"Accuracy"	"True Positives"	"True Negatives"	"False Negatives"	"False Positives"
"5"	"16"	"0"	"0.827586"	"79"	"65"	"3"	"27"
"10"	"26"	"0"	"0.758621"	"71"	"61"	"7"	"35"
"20"	"37"	"0"	"0.850575"	"96"	"52"	"16"	"10"
"50"	"128"	"0"	"0.821839"	"97"	"46"	"22"	"9"
"100"	"182"	"0"	"0.856322"	"99"	"50"	"18"	"7"
"200"	"552"	"0"	"0.867816"	"92"	"59"	"9"	"14"
"500"	"910"	"0"	"0.879310"	"101"	"52"	"16"	"5"
"1000"	"1963"	"0"	"0.908046"	"94"	"64"	"4"	"12"
"2000"	"3528"	"0"	"0.741379"	"65"	"64"	"4"	"41"
"3000"	"5700"	"0"	"0.482759"	"16"	"68"	"0"	"90"
"4000"	"7551"	"0"	"0.885057"	"97"	"57"	"11"	"9"
"5000"	"8889"	"0"	"0.655172"	"78"	"36"	"32"	"28"
"7000"	"12141"	"0"	"0.356322"	"14"	"48"	"20"	"92"
"10000"	"17848"	"0"	"0.459770"	"66"	"14"	"54"	"40"
"15000"	"25709"	"0"	"0.873563"	"95"	"57"	"11"	"11"
"20000"	"29261"	"0"	"0.706897"	"61"	"62"	"6"	"45"
