"Iterations"	"Train Time (ms)"	"Test Time (ms)"	"Accuracy"	"True Positives"	"True Negatives"	"False Negatives"	"False Positives"
"5"	"2"	"2"	"0.482759"	"82"	"2"	"66"	"24"
"10"	"5"	"0"	"0.574713"	"98"	"2"	"66"	"8"
"20"	"158"	"7"	"0.563218"	"87"	"11"	"57"	"19"
"50"	"44"	"0"	"0.741379"	"94"	"35"	"33"	"12"
"100"	"133"	"0"	"0.850575"	"98"	"50"	"18"	"8"
"200"	"565"	"1"	"0.867816"	"94"	"57"	"11"	"12"
"500"	"745"	"1"	"0.885057"	"96"	"58"	"10"	"10"
"1000"	"1193"	"0"	"0.931034"	"102"	"60"	"8"	"4"
"2000"	"917"	"0"	"0.948276"	"101"	"64"	"4"	"5"
"3000"	"1466"	"0"	"0.959770"	"101"	"66"	"2"	"5"
"4000"	"5677"	"1"	"0.942529"	"100"	"64"	"4"	"6"
"5000"	"2941"	"0"	"0.942529"	"101"	"63"	"5"	"5"
"7000"	"2747"	"0"	"0.936782"	"100"	"63"	"5"	"6"
"10000"	"7516"	"0"	"0.942529"	"101"	"63"	"5"	"5"
"15000"	"11460"	"0"	"0.931034"	"100"	"62"	"6"	"6"
"20000"	"11027"	"0"	"0.959770"	"101"	"66"	"2"	"5"
