"Iterations"	"Train Time (ms)"	"Test Time (ms)"	"Accuracy"	"True Positives"	"True Negatives"	"False Negatives"	"False Positives"
"5"	"2"	"0"	"0.459770"	"12"	"68"	"0"	"94"
"10"	"4"	"0"	"0.413793"	"70"	"2"	"66"	"36"
"20"	"8"	"0"	"0.591954"	"102"	"1"	"67"	"4"
"50"	"21"	"0"	"0.609195"	"106"	"0"	"68"	"0"
"100"	"78"	"0"	"0.350575"	"0"	"61"	"7"	"106"
"200"	"87"	"0"	"0.183908"	"7"	"25"	"43"	"99"
"500"	"275"	"0"	"0.373563"	"9"	"56"	"12"	"97"
"1000"	"509"	"0"	"0.591954"	"102"	"1"	"67"	"4"
"2000"	"1180"	"0"	"0.597701"	"104"	"0"	"68"	"2"
"3000"	"1467"	"0"	"0.655172"	"105"	"9"	"59"	"1"
"4000"	"1994"	"0"	"0.563218"	"97"	"1"	"67"	"9"
"5000"	"2657"	"0"	"0.235632"	"21"	"20"	"48"	"85"
"7000"	"3573"	"0"	"0.770115"	"86"	"48"	"20"	"20"
"10000"	"4837"	"0"	"0.787356"	"86"	"51"	"17"	"20"
"15000"	"7309"	"0"	"0.908046"	"98"	"60"	"8"	"8"
"20000"	"7478"	"0"	"0.925287"	"98"	"63"	"5"	"8"
