@relation 'spambase-weka.filters.unsupervised.attribute.RandomProjection-M-N10-R35-DSparse1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {0,1}
@attribute cluster {cluster1,cluster2}

@data

-1.680089,3.360179,-2.788602,107.335189,-98.356237,-1.347536,103.420754,-4.212348,103.199051,-2.217025,1,cluster2
1.101584,1.03923,-6.276952,172.394481,-165.28268,0.207846,171.621986,-11.168264,171.708589,-4.76314,1,cluster1
-0.022517,3.159261,-1.962414,845.077981,-822.162949,-4.070319,838.567202,-3.651163,835.768208,-0.848705,1,cluster2
-1.328483,4.41673,-7.390661,68.19084,-59.916834,0.853901,65.182268,-5.270631,68.80745,-3.256256,1,cluster1
-1.325019,4.41673,-7.387197,68.19084,-59.916834,0.857365,65.185732,-5.274095,68.814379,-3.256256,1,cluster1
-3.590541,0,-3.590541,25.980762,-17.966563,0,28.798809,3.204294,25.594515,-3.204294,1,cluster2
-5.636093,6.761926,-11.195976,6.280416,3.361911,0.730925,1.274789,-7.586383,6.550616,-2.217025,1,cluster1
-3.613058,0,-3.613058,19.052559,-11.909581,0,21.952012,3.256256,18.695756,-3.256256,1,cluster2
-7.082356,-2.038624,-3.600934,778.340332,-748.758636,-6.280416,761.549831,-12.266384,768.143749,-8.504369,1,cluster1
2.06114,2.132155,-2.927166,74.753581,-70.662477,-0.874686,72.417044,-5.138995,72.340834,-2.217025,1,cluster2
-1.662769,4.988306,-11.639381,10.392305,-5.656878,2.52533,7.066767,-10.839174,9.592097,-4.988306,1,cluster1
0.356802,0.900666,-3.00684,19.052559,-14.753609,-1.14835,17.400182,-2.007447,17.394986,-1.766692,1,cluster2
-2.504545,3.619986,-3.110763,107.473753,-97.933617,-1.361392,103.133233,-4.666145,103.607815,-2.39023,1,cluster2
-1.558846,1.593487,-7.82887,10.56551,-3.839957,1.558846,8.972023,-4.711178,12.124356,-4.676537,1,cluster1
1.659305,8.660254,-7.589847,31.679209,-38.337213,0.611414,38.881077,-11.696539,37.708478,-16.03879,1,cluster1
-3.053606,0.12644,-7.453015,88.554562,-83.834723,1.844634,95.881137,-4.990038,92.708019,-7.326575,1,cluster1
-1.628128,-1.645448,-4.884383,53.693575,-43.266629,-0.741318,50.43732,-5.788514,52.952257,-4.901704,1,cluster1
0,-3.013768,1.212436,165.116403,-99.703773,-4.061659,165.757262,-2.087121,159.911591,-3.654627,1,cluster2
-0.661643,3.221615,-5.771193,6.616434,-3.199098,-0.458993,1.15701,-2.104442,4.872259,-3.498743,1,cluster2
-4.373428,5.812763,-4.373428,161.693871,-153.582677,-3.171385,153.832092,-6.254435,154.879983,-3.308217,1,cluster2
-1.262665,0,-1.262665,15.588457,-8.949507,-1.262665,14.325792,1.262665,13.063127,0,1,cluster2
-1.551918,1.36832,-4.111889,115.57109,-106.351384,-0.614878,109.999083,-4.880919,113.419883,-2.095781,1,cluster2
-5.791978,5.092229,-6.491726,15.69238,-6.578329,-1.401229,20.084861,5.79371,18.683632,-5.092229,1,cluster2
-4.248721,2.996448,-4.248721,8.660254,-2.762621,-1.155278,6.420712,-2.8804,7.274613,-5.040268,1,cluster2
-0.339482,0.339482,2.154671,40.259789,-30.792399,1.475707,35.271483,0.339482,37.086672,0,1,cluster2
-1.551918,1.36832,-4.111889,115.57109,-106.358312,-0.614878,109.999083,-4.880919,113.419883,-2.095781,1,cluster2
-0.339482,0.339482,2.154671,40.259789,-30.792399,1.475707,35.271483,0.339482,37.086672,0,1,cluster2
8.642934,2.875204,-8.642934,15.016881,-12.749626,-6.405124,9.249151,-5.130334,14.379486,2.892525,1,cluster2
-0.609682,5.767729,-0.609682,13.28483,-12.124356,-0.609682,18.442877,0.609682,17.833195,-5.767729,1,cluster2
-7.58465,1.125833,-3.046677,124.482492,-105.795395,-8.073089,101.101538,-11.135355,112.236892,-11.292971,1,cluster1
2.026499,8.123318,-2.04382,21.373507,-12.380699,2.518402,9.19719,-4.562222,15.785911,0,1,cluster2
4.638432,5.248114,-0.609682,13.804445,-14.481677,-3.658091,18.442877,3.658091,9.536672,-5.248114,1,cluster2
-2.416211,1.560578,-9.431017,17.959635,-12.046413,-0.62527,12.895118,-9.510691,18.506963,-4.676537,1,cluster1
-8.365805,17.25469,-8.365805,16.50298,-5.715768,-0.523079,0.294449,-8.888885,8.660254,0,1,cluster2
-4.390749,-0.320429,-7.066767,47.250346,-44.156903,1.177795,55.494908,-4.711178,50.4633,1.177795,1,cluster2
3.900578,8.8681,-9.401572,10.392305,-7.877367,-2.672554,0.990733,-6.195546,2.752229,0,1,cluster1
-5.847404,5.092229,-6.602578,15.69238,-7.76132,-1.51208,20.029436,5.849136,18.517355,-5.092229,1,cluster2
0.673768,2.085389,-4.3665,137.188816,-121.610751,1.243612,130.750783,-6.297737,132.451657,-5.871652,1,cluster1
-1.818653,2.528794,-2.667358,106.503804,-97.907636,-1.667965,103.819125,-3.389623,103.017186,-2.511474,1,cluster2
0.609682,2.875204,-3.010304,211.01575,-204.601966,-0.588897,205.857703,-4.468691,205.286126,-2.875204,1,cluster2
0.465922,1.415086,-2.755693,48.416016,-46.422426,-1.254005,52.91242,-4.76314,49.938489,-6.893562,1,cluster1
-5.672466,5.092229,-6.252703,15.69238,-8.182208,-1.162206,20.204373,5.674198,19.042167,-5.092229,1,cluster2
-5.707107,5.092229,-6.321985,15.69238,-8.147567,-1.231488,20.169732,5.708839,18.938244,-5.092229,1,cluster2
-0.661643,3.221615,-5.771193,6.616434,-3.001644,-0.408764,1.15701,-2.46644,4.922488,-3.498743,1,cluster2
-2.123494,3.66502,-2.123494,71.80563,-58.118965,-2.175456,60.542104,-3.607862,64.283334,-5.854332,1,cluster2
1.645448,1.693946,-6.962844,224.009595,-214.135173,-1.881007,221.078965,-8.019395,220.112481,-6.010216,1,cluster1
-1.042695,5.849136,-7.676449,23.197356,-14.408931,0.732657,14.493801,-9.088071,18.702685,-2.823243,1,cluster1
2.840563,9.474318,-4.919024,6.962844,-7.312719,3.135012,11.518138,-15.190086,10.409625,-12.903779,1,cluster1
-0.072746,2.31402,-4.177707,333.213666,-324.082295,1.430674,331.770868,-11.294703,330.371371,-1.853294,1,cluster1
0.900666,2.580756,-5.691519,65.984208,-61.867123,0.013856,66.961084,-9.938508,67.425274,-4.451371,1,cluster1
-3.325538,-6.651075,-3.325538,20.78461,-12.695932,0,20.78461,-9.976613,20.78461,-6.651075,1,cluster1
0.433013,4.368232,-0.831384,57.708469,-45.653395,-3.983717,51.13014,-15.526103,45.850849,-12.62665,1,cluster1
2.06114,2.132155,-2.927166,74.770901,-70.657281,-0.857365,72.417044,-5.104354,72.340834,-2.199705,1,cluster2
4.021822,-5.51485,4.021822,28.412561,-24.988297,-1.375248,29.101918,-7.236508,26.576588,0,1,cluster2
-0.209578,4.387285,-0.850437,57.706737,-45.019465,-4.006234,51.111087,-15.576333,46.469191,-12.695932,1,cluster1
0,-0.017321,-1.870615,50.090909,-45.937452,-2.559971,50.090909,-3.069194,49.401553,-5.629165,1,cluster2
3.282236,4.626308,-6.76539,103.78102,-92.202261,0.524811,95.531262,-9.105391,100.699702,-5.421319,1,cluster1
2.182384,-4.382089,-4.382089,13.856406,-5.348573,0,9.474318,-17.528354,11.674022,-8.764177,1,cluster1
-1.576166,1.576166,-2.355589,106.451843,-98.245386,-2.599808,104.078933,-2.11137,102.275868,-3.135012,1,cluster2
0.613146,2.182384,-3.024161,211.03307,-204.797687,-0.431281,205.826526,-5.38841,205.395245,-3.637307,1,cluster2
-1.467047,4.08764,-4.532777,115.337263,-98.867192,1.02191,112.848306,-5.10955,113.870216,-2.04382,1,cluster2
0.739586,9.422356,-11.615133,19.883943,-18.626474,1.325019,5.052392,-14.545763,17.462536,-2.875204,1,cluster1
-2.270719,5.629165,-4.832422,12.922831,-6.526367,-0.119512,13.975918,-1.730319,13.059663,-5.629165,1,cluster2
-2.355589,4.22274,-8.279203,28.253213,-19.920316,1.011518,21.234943,-11.829907,25.308726,-7.084088,1,cluster1
-2.388498,1.712998,-8.658522,59.688203,-52.664737,0.142028,53.764589,-12.314881,58.131089,-5.421319,1,cluster1
3.429461,3.429461,-1.143154,56.60342,-50.698859,-0.389711,57.746574,0.389711,53.927402,-6.858921,1,cluster2
-4.352644,-2.868276,-6.015412,76.688282,-70.414794,1.016714,82.977358,-4.529313,78.597002,-5.888973,1,cluster2
2.546115,7.638344,-15.276688,2.650038,2.864812,1.680089,-2.442192,-16.956777,4.330127,-7.638344,1,cluster1
1.853294,9.666576,-9.335754,109.013546,-105.920103,0.304841,105.551176,-12.103571,110.742132,-6.408588,1,cluster1
-3.742962,0.173205,3.046677,102.017793,-94.661773,3.221615,108.632495,-3.568025,98.448036,0,1,cluster2
6.599114,0.017321,-2.182384,510.227527,-357.483162,7.834066,492.716493,-3.434657,496.16847,-13.128945,1,cluster1
-1.986662,2.771281,-2.92197,106.573086,-98.397806,-1.519009,103.651116,-3.088247,103.067415,-2.753961,1,cluster2
-0.888542,3.100371,-3.244131,211.119673,-203.181684,-0.635663,205.571914,-4.802977,206.512418,-3.08305,1,cluster2
-0.796743,5.963451,-3.983717,24.520643,-18.266208,-0.105655,19.329687,-8.634273,20.407023,-3.983717,1,cluster1
0.691088,2.083657,-4.314539,137.173228,-122.187524,1.231488,130.785424,-6.264828,132.455121,-5.837011,1,cluster1
1.628128,1.645448,1.628128,421.078872,-379.343376,-0.737854,429.236831,-5.774657,417.102083,-8.157959,1,cluster1
1.758032,6.290809,-6.434569,29.614605,-25.729615,-0.427817,20.256334,-11.11457,23.053596,-3.06573,1,cluster1
0.072746,2.617129,-2.980859,78.863737,-68.109434,-1.723391,71.445364,-9.365199,74.140435,-1.853294,1,cluster1
-1.853294,1.472243,-5.473281,23.798378,-20.001723,2.629253,25.928801,-4.101496,24.33185,-4.659217,1,cluster2
-9.110587,18.806608,-9.110587,17.185408,-5.774657,-0.585433,-0.450333,-9.69602,8.660254,0,1,cluster1
0,7.690306,-9.612882,50.229473,-40.69973,-2.478565,40.616591,-9.056894,47.750909,-1.922576,1,cluster1
2.288039,-0.831384,-5.090497,483.32185,-475.305919,2.492421,481.910228,-7.886027,483.207534,-4.520653,1,cluster1
-1.460119,7.551742,-0.230363,12.557368,-11.817783,-0.857365,16.137517,-2.901185,10.291846,-6.304665,1,cluster2
1.903524,4.43405,-4.747551,15.588457,-9.328826,-1.254005,15.274956,-7.614095,9.586901,-4.43405,1,cluster1
-0.48151,0,-0.48151,46.765372,-36.916931,-1.44453,46.283862,1.44453,44.839331,0,1,cluster2
-4.175974,0.370659,-5.769461,104.020043,-100.337703,1.082532,115.578018,-3.400016,108.145788,-10.478907,1,cluster1
-0.228631,0.781155,-6.204206,33.219002,-29.680423,-0.86949,30.428669,-7.967434,33.007692,-4.641896,1,cluster1
-0.46419,6.858921,-1.84983,50.506602,-42.894238,3.640771,37.71021,-6.394732,44.104942,-4.10496,1,cluster2
0.057158,0.043301,-1.4861,250.186079,-241.998675,-0.452065,245.661962,-2.684679,248.37089,-1.732051,1,cluster2
-1.997055,0,-1.997055,39.837169,-35.25243,15.744342,37.840114,0,22.095772,-15.744342,1,cluster1
4.41673,5.443836,-6.270024,244.820185,-228.5493,2.397158,236.217089,0.311769,238.238392,-6.789639,1,cluster2
-0.081406,2.258594,-4.227936,333.154777,-323.779186,1.550185,331.779528,-11.424607,330.392156,-1.922576,1,cluster1
-0.377587,1.752835,-4.759676,1320.188178,-1308.671772,0.758638,1316.77777,-8.849048,1317.747719,-0.814064,1,cluster1
-0.377587,1.751103,-4.759676,1320.18991,-1308.673504,0.762102,1316.77777,-8.849048,1317.749451,-0.814064,1,cluster1
3.942148,3.815708,-2.46644,23.342849,-18.813536,-4.7718,18.318169,-14.065985,16.599975,-4.797781,1,cluster1
-1.628128,4.849742,-2.442192,60.240727,-52.401465,2.407551,53.797498,-4.035678,53.832139,0,1,cluster2
-0.817528,3.654627,-3.25972,105.655099,-97.945741,-1.617735,101.789162,-4.461763,102.0074,-4.243524,1,cluster2
-1.744175,2.234346,-2.488957,106.399881,-99.767859,-1.274789,103.910924,-2.44912,103.380917,-2.234346,1,cluster2
0.859097,0.322161,-4.408069,27.349082,-21.323277,1.558846,30.626122,-6.091623,26.254426,-3.135012,1,cluster1
1.325019,8.083481,-5.152851,32.706315,-29.597284,-1.711266,25.625692,-9.432749,29.140023,-2.147743,1,cluster1
-6.14878,12.26292,-17.164624,0.294449,6.032733,-0.658179,-3.39482,-3.013768,4.537973,-8.556331,1,cluster1
1.273057,5.102622,-3.867669,225.790143,-209.749621,-0.038105,225.410824,-5.719232,222.715753,-1.108513,1,cluster2
-6.826012,0,-1.586559,32.337389,-26.988816,3.119424,42.814564,2.12003,34.398529,0,1,cluster2
1.273057,5.102622,-3.867669,225.790143,-209.749621,-0.038105,225.410824,-5.719232,222.715753,-1.108513,1,cluster2
-6.826012,0,-1.586559,32.337389,-26.988816,3.119424,42.814564,2.12003,34.398529,0,1,cluster2
1.273057,5.102622,-3.867669,225.790143,-209.749621,-0.038105,225.410824,-5.719232,222.715753,-1.108513,1,cluster2
-6.826012,0,-1.586559,32.337389,-26.988816,3.119424,42.814564,2.12003,34.398529,0,1,cluster2
0.200918,3.503939,-1.96761,36.736798,-27.671244,0.568113,39.073334,-4.872259,34.935465,-1.36832,1,cluster2
-6.826012,0,-1.586559,32.337389,-26.988816,3.119424,42.814564,2.12003,34.398529,0,1,cluster2
3.39482,3.39482,-13.579278,100.528229,-86.453584,3.39482,100.528229,-16.974098,103.923048,-10.184459,1,cluster1
4.260845,8.52169,-4.260845,7.863511,-2.334804,-3.303021,12.124356,3.303021,8.821335,-8.52169,1,cluster2
1.113709,4.122281,-4.376892,46.765372,-41.974519,0,43.7568,-5.490601,46.51076,0,1,cluster2
0.76037,4.255649,-4.505064,137.739608,-128.871508,-0.408764,134.301488,-4.255649,135.515655,-2.632717,1,cluster2
-3.091711,0.814064,-3.923095,11.206369,-7.234776,0,8.114658,-1.645448,9.760106,-1.645448,1,cluster2
-1.281718,-7.014806,-8.345021,61.905228,-58.862015,5.908025,71.691315,-15.948724,61.421986,-9.786087,1,cluster1
0.727461,0.883346,-2.805922,32.908965,-30.477166,-0.055426,29.219697,-3.477958,30.047617,-3.533384,1,cluster2
-0.33775,1.330215,-1.636788,167.371534,-162.502739,-1.077336,163.341051,-4.960594,164.806366,-1.645448,1,cluster2
-0.322161,1.330215,-1.6212,167.371534,-162.471562,-1.077336,163.35664,-4.960594,164.821955,-1.645448,1,cluster2
6.651075,-2.217025,-2.217025,539.845596,-334.479796,7.929329,522.109395,-5.712304,525.604674,-15.519175,1,cluster1
3.415604,5.423051,-6.249239,244.84097,-227.634777,2.253398,236.237874,0.462458,239.099222,-6.720357,1,cluster2
-0.33775,1.330215,-1.636788,167.371534,-162.502739,-1.077336,163.341051,-4.960594,164.806366,-1.645448,1,cluster2
-0.322161,1.330215,-1.6212,167.371534,-162.471562,-1.077336,163.35664,-4.960594,164.821955,-1.645448,1,cluster2
-0.609682,2.582488,-4.300682,1027.771236,-1018.307311,0.171473,1026.58305,-9.521083,1027.535677,-0.727461,1,cluster1
-0.469386,-0.512687,-0.746514,258.780515,-248.826419,-0.041569,258.991825,-1.51208,255.666288,-3.325538,1,cluster2
-1.073872,0.5404,-1.655841,85.36932,-79.005766,-0.717069,85.407425,-1.517277,83.65459,-1.576166,1,cluster2
0.536936,-2.539186,-2.927166,180.645971,-160.386173,-1.867151,169.671697,-11.102446,170.807922,-10.773356,1,cluster1
-2.769549,2.923702,-8.017663,93.239759,-84.132636,0.420888,82.897684,-11.533726,90.624362,-4.382089,1,cluster1
1.02191,7.205331,-9.266472,57.157677,-36.014532,-1.761496,47.891205,-11.627257,55.396181,-2.06114,1,cluster1
-0,4.524117,-8.313844,24.920747,-13.260581,1.874079,18.359739,-6.07257,21.293833,-6.928203,1,cluster1
