@relation spambase_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A58-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Source_38 numeric
@attribute Source_39 numeric
@attribute Source_40 numeric
@attribute Source_41 numeric
@attribute Source_42 numeric
@attribute Source_43 numeric
@attribute Source_44 numeric
@attribute Source_45 numeric
@attribute Source_46 numeric
@attribute Source_47 numeric
@attribute Source_48 numeric
@attribute Source_49 numeric
@attribute Source_50 numeric
@attribute Source_51 numeric
@attribute Source_52 numeric
@attribute Source_53 numeric
@attribute Source_54 numeric
@attribute Source_55 numeric
@attribute Source_56 numeric
@attribute class {0,1}

@data

-3.420954,0.508438,-0.526089,-0.578679,-1.350476,0.460292,5.635629,-2.169527,1.418845,1.856316,-1.268818,-0.915971,0.24307,0.738554,-0.827513,-2.498299,-2.428162,2.150987,1.175329,-0.165998,-1.633862,1.271875,1.37614,-0.565227,0.544823,1.221042,-1.159341,-0.809194,-1.611706,-3.432275,0.724058,-1.6432,1.058591,-0.332251,-0.887931,0.323266,0.285877,-2.119997,0.749372,3.396304,0.314866,-0.66017,-0.526965,0.883705,-0.413313,0.880712,-0.45542,1.361328,-2.5866,0.431538,-2.864822,2.707435,-0.705535,0.043457,1.273792,-0.425528,1.580741,1
-12.687804,1.870176,-1.985963,-2.118214,-4.997885,1.682226,20.840442,-8.03264,5.236101,6.896831,-4.710271,-3.402758,0.886567,2.702114,-3.050844,-9.207862,-9.021416,7.97685,4.319197,-0.603945,-6.046368,4.692632,5.080302,-2.119743,2.035008,4.521407,-4.262484,-3.011691,-5.97668,-12.718278,2.691868,-6.103379,3.891309,-1.266433,-3.305472,1.204787,1.072549,-7.84159,2.736428,12.542291,1.125386,-2.468317,-1.924622,3.261393,-1.55957,3.2867,-1.702959,5.019521,-9.557412,1.581002,-10.630783,10.027544,-2.637643,0.177988,4.746787,-1.573488,5.861354,1
-27.874881,4.13425,-4.348682,-4.671237,-10.962492,3.689,45.834751,-17.639893,11.48437,15.156306,-10.36957,-7.509143,1.957093,5.939536,-6.725117,-20.229916,-19.825165,17.515891,9.527301,-1.309406,-13.301647,10.298939,11.183815,-4.648197,4.467973,9.94637,-9.356422,-6.598828,-13.143411,-27.932066,5.910538,-13.425747,8.560156,-2.798005,-7.237614,2.69559,2.372874,-17.236193,6.003418,27.571312,2.493233,-5.412898,-4.245166,7.160402,-3.38391,7.266794,-3.739522,11.040373,-21.002332,3.471172,-23.348662,22.049098,-5.781561,0.368099,10.436096,-3.474714,12.891431,1
-2.366045,0.341012,-0.363655,-0.393422,-0.918494,0.308218,3.861721,-1.482047,0.966073,1.277106,-0.870382,-0.644032,0.160171,0.506173,-0.561167,-1.706049,-1.685088,1.469432,0.795577,-0.108163,-1.115981,0.879472,0.943527,-0.386031,0.380264,0.834818,-0.795119,-0.568427,-1.100384,-2.35275,0.491795,-1.1346,0.719268,-0.230771,-0.605418,0.226285,0.202999,-1.453057,0.503752,2.329235,0.208909,-0.456437,-0.35547,0.606594,-0.293259,0.614363,-0.324207,0.928414,-1.765191,0.298258,-1.97996,1.860605,-0.498255,0.033183,0.879428,-0.291469,1.079139,1
-2.366059,0.341032,-0.363696,-0.393432,-0.918492,0.308218,3.861734,-1.482042,0.966069,1.277128,-0.870371,-0.644028,0.160165,0.506168,-0.561191,-1.706061,-1.685064,1.469422,0.795558,-0.108159,-1.115973,0.879472,0.943513,-0.386007,0.380261,0.834816,-0.79509,-0.568411,-1.100362,-2.352725,0.491806,-1.134613,0.719271,-0.230788,-0.60539,0.226251,0.202989,-1.453043,0.503775,2.329272,0.208892,-0.456441,-0.355462,0.60658,-0.293247,0.614371,-0.324203,0.928443,-1.765183,0.298298,-1.979952,1.860622,-0.498198,0.033201,0.879429,-0.291478,1.079127,1
-0.66413,0.078511,-0.0967,-0.113952,-0.24838,0.080761,1.090059,-0.417745,0.263764,0.355923,-0.243968,-0.191061,0.031144,0.144279,-0.146967,-0.479569,-0.481568,0.406258,0.227007,-0.006468,-0.300848,0.265966,0.278876,-0.101378,0.106374,0.227576,-0.214704,-0.157591,-0.306578,-0.672365,0.116678,-0.328873,0.191746,-0.045185,-0.164308,0.07574,0.059178,-0.378511,0.138911,0.660161,0.074967,-0.127888,-0.095497,0.1601,-0.085842,0.18443,-0.089288,0.261934,-0.503829,0.095515,-0.541053,0.535544,-0.148428,0.003166,0.243835,-0.07947,0.297568,1
-1.392621,0.192442,-0.216593,-0.227893,-0.523653,0.180176,2.246872,-0.862844,0.566401,0.749329,-0.494651,-0.372529,0.095184,0.320445,-0.329287,-0.992475,-0.971928,0.851917,0.46659,-0.062879,-0.658173,0.519551,0.563704,-0.213928,0.219292,0.512052,-0.481547,-0.330228,-0.64514,-1.368759,0.285112,-0.663357,0.40986,-0.125314,-0.354338,0.14114,0.130103,-0.867013,0.297168,1.369648,0.116595,-0.272338,-0.211317,0.348103,-0.155627,0.359164,-0.188377,0.539713,-1.013095,0.175329,-1.169069,1.098226,-0.300108,0.025514,0.528052,-0.202419,0.623464,1
-0.602334,0.069279,-0.087213,-0.103787,-0.223914,0.072429,0.988501,-0.378687,0.23824,0.322587,-0.220699,-0.174638,0.02652,0.131077,-0.132219,-0.434698,-0.43765,0.367142,0.205747,-0.003068,-0.271332,0.243575,0.254043,-0.090704,0.096387,0.205378,-0.193489,-0.142882,-0.2772,-0.610517,0.103282,-0.299457,0.172698,-0.038665,-0.148024,0.069888,0.053843,-0.339854,0.125606,0.599535,0.069546,-0.115841,-0.085976,0.143995,-0.078235,0.168655,-0.080968,0.237698,-0.4573,0.088282,-0.489125,0.486956,-0.135336,0.002384,0.220795,-0.071811,0.26864,1
-15.527154,2.277754,-2.414127,-2.619558,-6.128476,2.0341,25.504281,-9.79321,6.40039,8.422741,-5.769284,-4.200848,1.093171,3.302721,-3.758763,-11.248512,-11.020123,9.735745,5.287756,-0.727053,-7.370587,5.723917,6.218882,-2.606393,2.493628,5.553343,-5.234849,-3.685211,-7.323201,-15.540712,3.262813,-7.443179,4.756485,-1.56676,-4.029174,1.477624,1.325811,-9.583044,3.323783,15.357916,1.339526,-2.969536,-2.345454,3.97821,-1.871934,4.009774,-2.069752,6.138158,-11.678548,1.939315,-12.998514,12.247568,-3.22669,0.204891,5.814481,-1.945825,7.159073,1
