@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-M-N10-R28-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {0,1}

@data

106.524589,474.689308,-1.347536,113.508218,5.951327,3.897114,-378.089371,5.951327,588.512759,-110.497913,1
177.649523,1772.906422,-1.732051,184.972634,9.637131,8.625613,-1604.793571,8.490513,1958.01762,-180.89885,1
842.164672,3893.859794,-3.509135,858.011205,16.64674,5.10955,-3076.11011,15.862121,4757.001333,-860.484573,1
67.399293,324.950052,-0.237291,76.182523,4.498136,7.690306,-261.302381,6.425908,400.877963,-73.260553,1
67.402757,324.946588,-0.233827,76.179059,4.498136,7.690306,-261.305845,6.429373,400.874499,-73.260553,1
19.572174,88.334591,0,31.176915,1.991858,3.204294,-70.368028,4.809905,119.511506,-31.176915,1
6.644147,190.731703,-1.946825,10.012986,1.785744,11.102446,-186.320169,6.68052,202.310463,-5.942666,1
12.540048,80.626965,0,23.296083,0.987269,3.256256,-68.717384,3.886722,103.923048,-23.296083,1
780.082775,2158.938978,-5.409195,793.753852,17.414039,5.022947,-1410.661852,11.090321,2959.678191,-785.304908,1
75.718333,1293.81424,-0.509223,78.361443,4.570882,3.048409,-1223.172548,2.076729,1373.159488,-75.810132,1
9.592097,36.563593,0.862561,15.127732,2.272451,9.976613,-24.317993,2.272451,52.553886,-11.001987,1
18.354542,317.692759,-1.131029,22.599799,2.585952,2.629253,-299.568579,1.643716,340.193831,-20.356793,1
106.701258,445.791773,-1.361392,113.473577,5.868188,4.208883,-348.720717,6.360091,559.099072,-110.328172,1
10.56551,41.252254,-1.558846,17.291063,2.049016,7.82887,-29.618069,2.049016,58.543317,-12.614526,1
44.657466,342.384875,-0.618342,45.601434,-4.640164,8.019395,-313.307206,10.65038,392.92785,-35.71662,1
94.272061,418.705962,-0.263272,107.401006,5.402266,8.071357,-334.327375,9.709877,528.26164,-99.210138,1
56.225833,178.013254,-0.741318,62.492393,8.0575,4.884383,-131.635861,8.0575,244.666033,-61.751075,1
164.778654,739.83511,-3.4208,228.745022,62.632689,0,-634.502172,61.420254,971.308112,-227.177516,1
5.81103,118.792705,-2.38157,11.59608,2.615397,7.378536,-114.640979,-0.575041,129.271612,-7.621024,1
161.903449,311.474697,1.532865,165.684516,7.151638,8.227241,-169.791209,7.22958,480.99917,-163.157454,1
14.325792,34.460883,-1.262665,23.490073,6.638951,0,-22.986046,5.376286,56.688291,-22.227408,1
116.080313,3907.38711,0.296181,119.501113,4.996967,4.863599,-3798.652425,4.735427,4030.520334,-117.699781,1
14.291151,46.786156,-1.401229,31.298158,3.320341,4.392481,-37.405369,12.805052,75.283588,-24.104951,1
9.531476,116.698655,-1.155278,11.774481,0.95436,4.018358,-112.630068,4.742355,130.348948,-7.605435,1
37.426154,130.406105,-3.173117,47.911989,11.961543,2.494153,-103.244085,9.127908,180.812248,-47.572507,1
116.080313,3905.661988,0.296181,119.494185,4.990038,4.863599,-3796.920374,4.728499,4028.788284,-117.692852,1
37.426154,130.406105,-3.173117,47.911989,11.961543,2.494153,-103.244085,9.127908,180.812248,-47.572507,1
17.272011,77.521398,2.23781,25.944389,4.522385,11.535458,-60.621778,4.522385,105.703597,-16.664061,1
18.442877,50.267579,-0.609682,26.590444,1.160474,0,-42.691588,12.086251,76.248341,-20.213033,1
124.324875,217.812317,-9.198922,128.168296,5.779854,4.503332,-117.365495,-2.93063,350.326328,-114.466042,1
17.812411,98.293883,-3.561096,22.260317,9.48471,8.123318,-84.87049,7.458211,121.046103,-18.699221,1
15.394468,60.869462,-3.658091,29.481237,1.522473,0,-54.815944,6.160905,91.940721,-20.575032,1
21.858481,151.587355,0,21.302493,3.810512,9.820728,-134.864404,4.200223,176.946311,-19.121841,1
8.660254,25.977298,0,11.081661,2.944486,8.365805,-28.627336,2.944486,38.105118,-11.60474,1
53.139319,449.777222,0,55.054967,-1.297306,5.888973,-405.299889,6.947256,510.080303,-57.730985,1
7.71975,36.729869,-2.672554,17.874764,4.809905,8.8681,-32.375494,-0.157617,56.366129,-15.20221,1
14.1803,39.47517,-1.51208,30.226019,2.081925,4.337055,-28.68969,11.51121,66.67876,-22.866535,1
136.783516,402.481842,-0.845241,144.929351,13.598331,7.569062,-279.128648,10.946561,554.945615,-141.995257,1
106.515929,316.797289,-1.667965,112.692422,5.386678,3.360179,-218.047876,6.079498,429.501835,-108.512983,1
210.444173,483.967905,-2.009179,217.547313,6.670128,5.022947,-285.376155,4.387285,705.256448,-214.827994,1
47.87908,388.824622,-3.008572,58.304294,1.56231,6.893562,-344.317844,1.99359,441.096183,-51.428053,1
14.530174,37.639196,-1.162206,29.455256,1.835974,4.511992,-27.132576,11.440196,64.771772,-22.620584,1
14.460892,37.708478,-1.231488,29.559179,1.835974,4.477351,-27.097935,11.405555,64.806413,-22.620584,1
6.173029,115.342459,-2.33134,11.481765,2.86308,7.378536,-111.176877,-0.327358,125.757281,-7.245169,1
67.366384,584.795778,-5.265434,74.73626,5.516582,4.503332,-525.661832,1.337143,658.894644,-67.986458,1
223.663185,1331.772134,-2.542651,237.032885,6.566205,9.907331,-1116.725902,7.449551,1569.373132,-232.269745,1
20.975135,762.500727,-0.848705,24.363027,7.158566,10.981202,-746.273143,3.0155,789.174309,-23.578408,1
21.304225,153.671012,-2.857884,17.542211,0.793279,7.742267,-147.501447,13.142802,171.80212,-3.495279,1
335.408175,5253.964815,0.696284,342.847333,10.688486,7.603703,-4930.783186,12.844889,5603.019818,-342.779783,1
71.128398,1550.343089,-3.017233,77.673818,5.953059,8.407375,-1484.966832,6.483066,1624.147506,-73.302122,1
27.435685,52.394537,0,25.547749,4.76314,6.651075,-36.373067,4.76314,81.267824,-22.222212,1
56.156551,302.177048,-2.767817,61.678329,6.917811,4.41673,-266.160783,2.916774,371.105742,-56.9914,1
75.701013,1295.558416,-0.509223,78.383959,4.576078,3.048409,-1224.92192,2.081925,1374.874218,-75.815328,1
33.466686,112.183199,-2.52533,35.394458,11.003719,4.364768,-88.691394,6.296005,147.116931,-31.719046,1
56.170408,297.580185,-2.788602,61.706042,6.89183,4.43405,-260.995808,3.54724,365.930374,-56.98274,1
53.160103,180.82264,-2.559971,57.985597,1.593487,1.870615,-131.635861,5.334716,240.006816,-53.555011,1
104.851428,248.092029,0.630466,109.108809,9.34961,6.233651,-150.156681,7.122193,361.451291,-104.440932,1
27.002672,79.844078,0,20.164536,10.690218,4.382089,-74.478185,8.507834,110.955175,-15.782447,1
105.41088,342.641219,-2.599808,113.064813,4.030482,3.135012,-242.331228,4.809905,455.461812,-108.906159,1
211.329251,482.050524,-1.886203,217.382769,6.645879,5.092229,-283.664889,4.34918,704.094242,-214.769104,1
114.315353,417.431173,1.02191,129.186742,14.871388,4.08764,-317.542071,14.426251,545.596004,-127.142922,1
21.226283,109.934997,-1.134493,21.273048,3.072658,14.249582,-95.188316,2.547847,136.471747,-20.497089,1
10.754303,124.201899,0.694552,15.796303,-0.706677,3.898846,-118.454955,5.719232,143.640706,-11.641113,1
27.681636,164.421851,1.094656,27.835789,0.088335,7.690306,-142.568566,1.266129,197.069277,-27.246891,1
62.407523,309.008256,-0.240755,62.066309,3.176581,9.595561,-253.575702,3.490082,375.697409,-60.611386,1
57.356862,204.453009,-3.819172,68.223749,4.371696,3.429461,-149.545267,8.94431,271.143894,-60.975117,1
81.234915,324.785507,-1.020178,91.980558,4.208883,6.720357,-253.127101,6.611238,422.653306,-84.783887,1
6.876242,30.754294,1.680089,8.164888,4.648824,12.730573,-21.702597,4.648824,40.599271,-2.206633,1
115.609195,515.59342,-3.296093,122.691551,4.614183,12.210958,-408.641015,11.854156,639.357111,-115.119025,1
102.190998,232.773772,0,109.89516,7.877367,0,-144.901639,7.529225,349.804981,-110.068365,1
498.350855,377.651162,1.269593,625.784761,132.155477,8.746857,-7.378536,125.573684,1015.634756,-616.107793,1
105.972065,317.687563,-1.519009,113.063081,4.970986,3.689268,-219.923687,5.738284,431.067609,-109.708098,1
210.501331,478.371648,-2.159867,217.642576,6.666664,5.403999,-278.543215,5.760801,698.478933,-214.720607,1
23.593996,183.734218,-0.516151,27.177609,4.531045,6.373947,-170.012911,4.531045,215.151887,-23.860732,1
136.76966,397.805305,-0.841777,144.406272,13.042343,7.49978,-273.934228,10.407893,549.711357,-141.49123,1
423.614594,502.357088,-2.365981,472.617776,42.62577,3.256256,-128.067837,47.544795,975.865138,-468.606346,1
30.492754,167.278003,0.736122,31.883591,4.027018,8.1926,-146.086361,0.6755,203.247502,-30.717921,1
81.903487,1838.08869,-0.885078,86.069069,8.448944,7.274613,-1769.932491,8.821335,1927.848759,-79.97225,1
23.587068,300.860689,-1.285182,28.339815,2.840563,9.023985,-275.326796,3.966396,328.971874,-26.708223,1
8.660254,13.849478,0,10.960418,2.885597,9.110587,-17.185408,2.885597,25.980762,-11.545851,1
49.673485,192.881178,-2.478565,59.759217,7.051179,9.612882,-147.224319,7.051179,252.084407,-57.280652,1
487.982798,890.601473,0.41396,493.68471,9.990469,6.581793,-412.101652,10.123837,1387.540706,-490.918624,1
10.487568,97.583742,-2.104442,17.355149,-6.157441,2.511474,-96.591277,4.97445,116.57568,-12.704593,1
