@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S22

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_3d numeric
@attribute word_freq_over numeric
@attribute word_freq_order numeric
@attribute word_freq_receive numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_free numeric
@attribute word_freq_business numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_650 numeric
@attribute word_freq_telnet numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_project numeric
@attribute word_freq_table numeric
@attribute char_freq_; numeric
@attribute char_freq_[ numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data

0,0.64,0.64,0,0,0,0,0,0,0.32,0,1.93,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0.21,0.28,0.5,0,0.28,0,0.21,0.21,0.14,0.14,0.07,3.47,0,1.59,0.43,0.43,0,0,0,0,0,0.07,0,0,0,0,0,0,101,1
0.06,0,0.71,0,0.19,0.64,0.38,0,1.75,0.06,0.06,1.36,0.32,0.51,1.16,0.06,0,0,0,0,0,0,0,0.06,0,0,0.01,0,485,1
0,0,0,0,0,0.31,0.31,0,0,0.31,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1
0,0,0,0,0,0.31,0.31,0,0,0.31,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0,0,0,0,0,0.96,0,0,0.96,0,3.85,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0.15,0,0.46,0,0,0.92,0.76,0,0,0,0,1.23,3.53,2,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,445,1
0.06,0.12,0.77,0,0.32,0.06,0,0,0.12,0,0,1.67,0.06,0.71,0.19,0,0,0,0,0,0,0,0,0,0.06,0,0.04,0,43,1
0,0,0,0,0,0,0.96,0,0,0,0,3.84,0,0.96,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,6,1
0,0,0.25,0,0.25,0,0.12,0,0,0,0,1.16,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,11,1
0,0.69,0.34,0,0,0,0,0,0,0.34,0,2.09,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0,0,0,0,0,0,0.9,0,0,0,0,2.72,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0,0,1.42,0,0.35,0,0,0,0,5.35,0,3.21,0,2.85,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
0,0.42,0.42,0,0,0,0,0,0,1.27,0,1.7,0.42,1.27,0,0.42,0,0,0,0,0,1.27,0,0.42,0,0,0,0,55,1
0,0,0,0,0,0,0,0,0,0,0,1.88,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1
0,0,0.55,0,0,0,0,0,0.18,0,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0.63,0,0,0.31,0.31,0,0,1.27,0.63,0.31,2.22,0,1.91,0.31,0.63,0,0,0.31,0,0,0,0,1.59,0,0,0,0,91,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
0.05,0.07,0.1,0,0.05,0.55,0.1,0,0,0,0.02,2.09,0.1,1.57,0.05,0,0,0,0,0,0.02,0.1,0,0,0,0,0.042,0.016,66,1
0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,12,1
0,0,0,0,0,0,0,0,0,1.16,0,1.16,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
0.05,0.07,0.1,0,0.05,0.55,0.1,0,0,0,0.02,2.09,0.1,1.57,0.05,0,0,0,0,0,0.02,0.1,0,0,0,0,0.042,0.016,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,12,1
0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0,0,0,0.65,0,0,0.65,1.3,1.3,5.22,1.3,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,66,1
1.17,0,0,0,0,0,0,0,0,0,1.17,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
0,0,3.03,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0,0.27,0,0,0,0,0.27,0,3.51,0,2.7,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0,0.68,0,0,0,0,1.36,0,0,0,0,2.04,0,0.68,0,0,0.68,0,0.68,1.36,0,1.36,0,0,0,0,0,0.185,30,1
0,0,2.56,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0,12,1
0,0,0.48,0,0,0,0,0,0,0.48,0.97,2.43,0,2.43,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1
0,0.48,0.48,0,0,0,0,0,0,0.48,0,1.46,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0,0.41,1.66,0,0,0,0,0,0,0.41,0,2.08,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1
0.3,0,0,0,0.92,0,0,0,0,0,0,2.76,0,0.61,0.3,0.61,0,0,0,0,0,0.3,0,0,0,0,0,0,30,1
0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,12,1
0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,12,1
0,0,0.55,0,0,0,0,0,0.18,0,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0.26,0,0,0.26,1.56,1.82,2.08,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1
0.15,0.45,1.05,0,0,0.6,0,0,0.3,0,0,4.07,0,1.51,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,130,1
0.18,0,0.18,0,0.36,0.06,0.06,0.06,0,0,0.72,4.54,0.24,1.09,0.84,0.06,0,0,0,0,0,0,0,0,0,0,0.01,0,12,1
0.49,0,0.99,0,0.99,0,0.99,0,0,4.97,0.99,3.48,0,1.99,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0.46,0.3,0.46,0,0.12,0.43,0.25,1.23,0,0.25,0.43,3.22,0,1.46,1.05,0.36,0,0,0,0,0,0,0,0,0,0,0,0,193,1
0.46,0.46,0.26,0,0.33,0,0.39,0,0.26,0.26,0,3.51,0,0.66,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0.036,0,40,1
0,1.92,0,0,0,0,0,0,0,0,0,1.92,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
0.73,0.36,1.09,0,0.73,0.36,0,0,0,1.09,0.36,2.19,2.19,2.19,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
0.06,0.12,0.77,0,0.32,0.06,0,0,0.12,0,0,1.67,0.06,0.7,0.19,0,0,0,0,0,0,0,0,0,0.06,0,0.04,0,43,1
0,1.26,0,0,1.26,0,0,0,0,0,0,0,0,1.26,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,17,1
0.73,0.36,0.73,0,0.73,0.36,0,0,0,1.1,0.36,2.2,2.2,2.2,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
0,0,0,0,0,0,0,0,0,1.08,0,1.08,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
0,0,0,0,0,0,0,0,0,0,1.04,3.66,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,59,1
0,0,1.26,0,0,0,0,0,0,0,0,2.53,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0,0.45,0.45,0,0,0,0,0,0,0.45,0,1.36,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0,0.42,1.68,0,0,0,0,0,0,0.42,0,2.1,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1
0,0.59,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1
0.23,0,0.47,0,0,0,0,0.23,0,0.23,0.23,7.1,0,1.89,0,0.23,0,0,0,0,0,0,0,0,0,0,0.043,0,11,1
0,0,0.46,0,0,0,0.46,0,0,1.39,0,0.93,0,0.46,0,0,0,0,0,0,0,0,0.46,0,0,0,0.069,0,8,1
0,0.34,0,0,0,0,0.34,0,0,0.34,0,3.42,0,2.73,0,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,15,1
0.12,0.24,0.12,0,0.36,0,0.36,0,0,0,0,4.1,0,3.01,0.12,0,0,0,0,0,0,0.12,0,0.12,0,0,0,0,34,1
0.66,0,0.66,0,0,0,0,0,0,1.98,1.32,1.32,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
