@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S29

@attribute word_freq_make numeric
@attribute word_freq_our numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_mail numeric
@attribute word_freq_receive numeric
@attribute word_freq_report numeric
@attribute word_freq_free numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_george numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_telnet numeric
@attribute word_freq_data numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_cs numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_table numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0,0.32,0,0,0,0,0,0,0.32,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,1
0.21,0.14,0.28,0.21,0.07,0.94,0.21,0.21,0.14,1.59,0,0.43,0.43,0,0,0,0,0,0,0.07,0,0,0,0,0,0.132,0,0.048,1028,1
0.06,1.23,0.19,0.19,0.12,0.25,0.38,0,0.06,0.51,0,1.16,0.06,0,0,0,0,0,0,0,0,0.12,0,0,0.01,0.143,0,0.01,2259,1
0,0.63,0,0.31,0.63,0.63,0.31,0,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0,191,1
0,0.63,0,0.31,0.63,0.63,0.31,0,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,191,1
0,1.85,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,54,1
0,1.92,0,0,0,0.64,0.96,0,0.96,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,112,1
0,1.88,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,49,1
0.15,0.61,0,0.3,0,0.76,0.76,0,0,2,0,0,0.15,0,0,0,0,0.15,0,0,0,0.3,0,0,0,0.271,0,0.022,1257,1
0.06,0.19,0.32,0.38,0,0,0,0,0,0.71,0,0.19,0,0,0,0,0,0,0,0,0,0,0.06,0,0.04,0.03,0,0,749,1
0,0,0,0.96,0,1.92,0.96,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0,0.38,0.25,0.25,0,0,0.12,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.044,0,0,184,1
0,0.34,0,0,0,0,0,0,0.34,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,261,1
0,0.9,0,0.9,0,0.9,0.9,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
0,0.71,0.35,0,0.35,0.71,0,0,5.35,2.85,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,205,1
0,1.27,0,0.42,0,1.27,0,0,1.27,1.27,0,0,0.42,0,0,0,0,0,0,1.27,0,0,0,0,0,0.063,0,0,249,1
0,0.94,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1
0,0,0,0,0,0,0,0,0,2.11,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,1
0,1.11,0,0.18,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,70,1
0,1.59,0.31,0,0,0,0,0,0.63,1.91,0,0.31,0.63,0,0.31,0,0,0,0,0,0,0,0,0,0,0.275,0,0,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0,23,1
0.05,0.76,0.05,0.15,0.02,0,0.1,0,0,1.57,0,0.05,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0.042,0.101,0.016,0.059,2259,1
0,2.94,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.404,0,0,34,1
0,1.16,0,0,0,0,0,0,1.16,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0,82,1
0.05,0.76,0.05,0.15,0.02,0,0.1,0,0,1.57,0,0.05,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0.042,0.101,0.016,0.059,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0,82,1
0,0,0,1.66,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1
0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,36,1
0,0.65,0,0.65,0,0,0.65,0,0.65,1.3,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0,129,1
1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1
0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,43,1
0,1.89,0.27,0,0,0,0,0,0.27,2.7,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,89,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
0,0,0,0,0,0.68,1.36,0,0,0.68,0,0,0,0,0.68,0,1.36,0,0,1.36,0,0,0,0,0,0,0.185,0,264,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,25,1
0,2.94,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.436,0,0,29,1
0,1.46,0,0.48,0,0,0,0,0.48,2.43,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,239,1
0,0.48,0,0,0,0,0,0,0.48,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,186,1
0,0.41,0,0,0,0,0,0,0.41,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,285,1
