@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S30

@attribute word_freq_make numeric
@attribute word_freq_all numeric
@attribute word_freq_3d numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_mail numeric
@attribute word_freq_will numeric
@attribute word_freq_free numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hpl numeric
@attribute word_freq_415 numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_cs numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_re numeric
@attribute char_freq_; numeric
@attribute char_freq_[ numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data

0,0.64,0,0,0,0,0,0,0.64,0.32,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,61,1
0.21,0.5,0,0.28,0.21,0.07,0,0.94,0.79,0.14,1.59,0,0.43,0.43,0,0,0,0.07,0,0,0,0,0,0,0,0,0.372,0.18,101,1
0.06,0.71,0,0.19,0.19,0.12,0.64,0.25,0.45,0.06,0.51,0,1.16,0.06,0,0,0,0,0,0,0,0.12,0,0.06,0.01,0,0.276,0.184,485,1
0,0,0,0,0.31,0.63,0.31,0.63,0.31,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,40,1
0,0,0,0,0.31,0.63,0.31,0.63,0.31,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,40,1
0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0,0,0,0,0,0,0.64,1.28,0.96,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0.054,4,1
0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0.15,0.46,0,0,0.3,0,0.92,0.76,0.92,0,2,0,0,0.15,0,0,0,0,0,0,0,0.3,0,0,0,0,0.181,0.203,445,1
0.06,0.77,0,0.32,0.38,0,0.06,0,0.64,0,0.71,0,0.19,0,0,0,0,0,0,0,0,0,0.06,0,0.04,0,0.244,0.081,43,1
0,0,0,0,0.96,0,0,1.92,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,6,1
0,0.25,0,0.25,0.25,0,0,0,0.12,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0.663,0,11,1
0,0.34,0,0,0,0,0,0,0.69,0.34,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,61,1
0,0,0,0,0.9,0,0,0.9,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0,1.42,0,0.35,0,0.35,0,0.71,0.35,5.35,2.85,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,24,1
0,0.42,0,0,0.42,0,0,1.27,0,1.27,1.27,0,0,0.42,0,0,0,1.27,0,0,0,0,0,0,0,0,0.572,0.063,55,1
0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,31,1
0,0,0,0,0,0,0,0,0,0,2.11,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,0.37,95,1
0,0.55,0,0,0.18,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0,4,1
0,0,0,0.31,0,0,0.31,0,0.63,0.63,1.91,0,0.31,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.496,91,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,9,1
0.05,0.1,0,0.05,0.15,0.02,0.55,0,0.47,0,1.57,0,0.05,0,0,0,0.02,0.1,0,0,0,0,0,0,0.042,0.016,0.25,0.046,66,1
0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0.809,0,12,1
0,0,0,0,0,0,0,0,0.58,1.16,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0.392,0.196,22,1
0.05,0.1,0,0.05,0.15,0.02,0.55,0,0.47,0,1.57,0,0.05,0,0,0,0.02,0.1,0,0,0,0,0,0,0.042,0.016,0.25,0.046,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0.392,0.196,22,1
0,0,0,0,1.66,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,12,1
0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,11,1
0,0,0,0,0.65,0,0,0,0.65,0.65,1.3,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,66,1
1.17,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0.886,0,10,1
0,3.03,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.112,0,11,1
0,0,0,0.27,0,0,0,0,0.81,0.27,2.7,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,5,1
0,0,0,0,0,0,0,0.68,0,0,0.68,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0.185,0,0,30,1
0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543,0,6,1
0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0,0.873,0,12,1
0,0.48,0,0,0.48,0,0,0,0.97,0.48,2.43,0,0.48,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0.488,0.244,78,1
0,0.48,0,0,0,0,0,0,0.97,0.48,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963,0,61,1
0,1.66,0,0,0,0,0,0,0.41,0.41,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.75,0,121,1
0.3,0,0,0.92,0,2.45,0,0,0.3,0,0.61,0,0.3,0.61,0,0,0,0.3,0,0,0,0,0,0,0,0,0.207,0.207,30,1
0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0.671,0,12,1
0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,0.711,0,12,1
0,0.55,0,0,0.18,0,0,0,0.18,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,4,1
0,0,0,0,0.26,0.52,0,0.26,0.52,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813,0.036,38,1
0.15,1.05,0,0,0,1.81,0.6,0.75,0.9,0,1.51,0,0,0.3,0,0,0,0,0,0,0,0,0,0.15,0,0,1.318,0.068,130,1
0.18,0.18,0,0.36,0.06,0.06,0.06,0.12,0.54,0,1.09,0,0.84,0.06,0,0,0,0,0,0,0,0.06,0,0.06,0.01,0,0.01,0.167,12,1
0.49,0.99,0,0.99,0,0,0,0.99,2.48,4.97,1.99,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,8,1
0.46,0.46,0,0.12,0.05,0.28,0.43,0.74,0.97,0.25,1.46,0,1.05,0.36,0,0,0,0,0,0,0,0,0,0.02,0,0,0.325,0.756,193,1
