@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S31

@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_3d numeric
@attribute word_freq_remove numeric
@attribute word_freq_will numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_free numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_hpl numeric
@attribute word_freq_lab numeric
@attribute word_freq_telnet numeric
@attribute word_freq_857 numeric
@attribute word_freq_415 numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_re numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_! numeric
@attribute capital_run_length_longest numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0.64,0.64,0,0,0.64,0,0,0.32,1.29,1.93,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,61,278,1
0.28,0.5,0,0.21,0.79,0.21,0.14,0.14,0.28,3.47,0,1.59,0.43,0,0,0,0,0,0,0,0.07,0,0,0,0.132,0,0.372,101,1028,1
0,0.71,0,0.19,0.45,0,1.75,0.06,1.03,1.36,0.32,0.51,1.16,0,0,0,0,0,0,0,0,0.06,0,0,0.143,0,0.276,485,2259,1
0,0,0,0.31,0.31,0,0,0.31,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0.137,40,191,1
0,0,0,0.31,0.31,0,0,0.31,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,40,191,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,15,54,1
0,0,0,0,1.28,0,0,0.96,0.32,3.85,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.164,4,112,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,11,49,1
0,0.46,0,0.3,0.92,0,0,0,0.15,1.23,3.53,2,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0,0.181,445,1257,1
0.12,0.77,0,0.38,0.64,0,0.12,0,0.12,1.67,0.06,0.71,0.19,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.244,43,749,1
0,0,0,0.96,0,0,0,0,0.96,3.84,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,6,21,1
0,0.25,0,0.25,0.12,0,0,0,0,1.16,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0.663,11,184,1
0.69,0.34,0,0,0.69,0,0,0.34,1.39,2.09,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0.786,61,261,1
0,0,0,0.9,0,0,0,0,0,2.72,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,1
0,1.42,0,0,0.35,0,0,5.35,0,3.21,0,2.85,0.35,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0.357,24,205,1
0.42,0.42,0,0.42,0,0,0,1.27,0,1.7,0.42,1.27,0,0,0,0,0,0,0,0,1.27,0,0,0,0.063,0,0.572,55,249,1
0,0,0,0,0,0,0,0,0,1.88,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,31,107,1
0,0,0,0,0,0,0,0,0,0,0,2.11,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,95,461,1
0,0.55,0,0.18,0,0,0.18,0,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0.455,4,70,1
0.63,0,0,0,0.63,0,1.27,0.63,3.18,2.22,0,1.91,0.31,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0.055,91,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0.729,9,23,1
