@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S32

@attribute word_freq_make numeric
@attribute word_freq_all numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_cs numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_$ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_longest numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0,0.64,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,278,1
0.21,0.5,0.28,0.21,0.21,0.14,0,1.59,0.43,0.43,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.132,0,0.18,0.048,101,1028,1
0.06,0.71,0.19,0.19,0,1.75,0.32,0.51,1.16,0.06,0,0,0,0,0,0,0.06,0,0,0.12,0,0,0,0.143,0,0.184,0.01,485,2259,1
0,0,0,0.31,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0,0,40,191,1
0,0,0,0.31,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,40,191,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,15,54,1
0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.054,0,4,112,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,11,49,1
0.15,0.46,0,0.3,0,0,3.53,2,0,0.15,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.271,0,0.203,0.022,445,1257,1
0.06,0.77,0.32,0.38,0,0.12,0.06,0.71,0.19,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.03,0,0.081,0,43,749,1
0,0,0,0.96,0,0,0,0.96,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,6,21,1
0,0.25,0.25,0.25,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,11,184,1
0,0.34,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,61,261,1
0,0,0,0.9,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,1
0,1.42,0.35,0,0,0,0,2.85,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,24,205,1
0,0.42,0,0.42,0,0,0.42,1.27,0,0.42,0,0,0,0,1.27,0,0.42,0,0,0,0,0,0,0.063,0,0.063,0,55,249,1
0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,107,1
0,0,0,0,0,0,0,2.11,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,95,461,1
0,0.55,0,0.18,0,0.18,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,4,70,1
0,0,0.31,0,0,1.27,0,1.91,0.31,0.63,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0.275,0,0.496,0,91,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0,0,9,23,1
0.05,0.1,0.05,0.15,0,0,0.1,1.57,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.101,0.016,0.046,0.059,66,2259,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0,12,34,1
0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0,0,5,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.196,0,22,82,1
0.05,0.1,0.05,0.15,0,0,0.1,1.57,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.101,0.016,0.046,0.059,66,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.196,0,22,82,1
0,0,0,1.66,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,0,11,36,1
0,0,0,0.65,0,0,5.22,1.3,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0,0,66,129,1
1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,59,1
0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,0,11,43,1
0,0,0.27,0,0,0,0,2.7,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0.091,0,11,89,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,5,17,1
0,0,0,0,0,0,0,0.68,0,0,0.68,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0.185,0,0,30,264,1
0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,6,25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0,0,0,12,29,1
0,0.48,0,0.48,0,0,0,2.43,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0.244,0,78,239,1
0,0.48,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,61,186,1
0,1.66,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,121,285,1
0.3,0,0.92,0,0,0,0,0.61,0.3,0.61,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.051,0,0.207,0,30,226,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,12,28,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,0,0,12,28,1
0,0.55,0,0.18,0,0.18,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,4,68,1
0,0,0,0.26,0,0,2.08,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.036,0.147,38,339,1
0.15,1.05,0,0,0,0.3,0,1.51,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.068,0,130,774,1
0.18,0.18,0.36,0.06,0.06,0,0.24,1.09,0.84,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.052,0,0.167,0,12,442,1
0.49,0.99,0.99,0,0,0,0,1.99,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,8,94,1
0.46,0.46,0.12,0.05,1.23,0,0,1.46,1.05,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.756,0.153,193,3040,1
0.46,0.26,0.33,0.06,0,0.26,0,0.66,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0.23,0.084,40,898,1
0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,1
0.73,1.09,0.73,0.73,0,0,2.19,2.19,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.332,0,30,179,1
0.06,0.77,0.32,0.38,0,0.12,0.06,0.7,0.19,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.03,0,0.071,0,43,750,1
0,0,1.26,0,0,0,0,1.26,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0.596,0,17,69,1
0.73,0.73,0.73,0.73,0,0,2.2,2.2,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0.333,0,30,176,1
0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,106,1
