@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S34

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_remove numeric
@attribute word_freq_free numeric
@attribute word_freq_business numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_telnet numeric
@attribute word_freq_857 numeric
@attribute word_freq_data numeric
@attribute word_freq_415 numeric
@attribute word_freq_85 numeric
@attribute word_freq_1999 numeric
@attribute word_freq_pm numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_re numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0,0.64,0.64,0,0.32,0,1.29,1.93,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,1
0.21,0.28,0.5,0.21,0.14,0.07,0.28,3.47,1.59,0.43,0.43,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.132,0,0.18,1028,1
0.06,0,0.71,0.19,0.06,0.06,1.03,1.36,0.51,1.16,0.06,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.06,0.143,0,0.184,2259,1
0,0,0,0.31,0.31,0,0,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0,191,1
0,0,0,0.31,0.31,0,0,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,191,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,54,1
0,0,0,0,0.96,0,0.32,3.85,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.054,112,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,49,1
0.15,0,0.46,0.3,0,0,0.15,1.23,2,0,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0.271,0,0.203,1257,1
0.06,0.12,0.77,0.38,0,0,0.12,1.67,0.71,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.03,0,0.081,749,1
0,0,0,0.96,0,0,0.96,3.84,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0,0,0.25,0.25,0,0,0,1.16,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,184,1
0,0.69,0.34,0,0.34,0,1.39,2.09,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,261,1
0,0,0,0.9,0,0,0,2.72,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
0,0,1.42,0,5.35,0,0,3.21,2.85,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,205,1
0,0.42,0.42,0.42,1.27,0,0,1.7,1.27,0,0.42,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0.063,0,0.063,249,1
0,0,0,0,0,0,0,1.88,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1
0,0,0,0,0,0,0,0,2.11,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,461,1
0,0,0.55,0.18,0,0.37,0.37,3.15,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,70,1
0,0.63,0,0,0.63,0.31,3.18,2.22,1.91,0.31,0.63,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0.496,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0,23,1
0.05,0.07,0.1,0.15,0,0.02,0.13,2.09,1.57,0.05,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.101,0.016,0.046,2259,1
