@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S36

@attribute word_freq_make numeric
@attribute word_freq_3d numeric
@attribute word_freq_our numeric
@attribute word_freq_remove numeric
@attribute word_freq_addresses numeric
@attribute word_freq_business numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_000 numeric
@attribute word_freq_hpl numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_telnet numeric
@attribute word_freq_857 numeric
@attribute word_freq_data numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_original numeric
@attribute word_freq_edu numeric
@attribute word_freq_conference numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_# numeric
@attribute class {0,1}

@data

0,0,0.32,0,0,0,1.29,1.93,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.21,0,0.14,0.21,0.14,0.07,0.28,3.47,0,1.59,0,0.43,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.132,0.048,1
0.06,0,1.23,0.19,1.75,0.06,1.03,1.36,0.32,0.51,0,1.16,0,0,0,0,0,0,0,0,0,0,0.06,0.12,0.06,0,0.01,0.143,0.01,1
0,0,0.63,0.31,0,0,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,1
0,0,0.63,0.31,0,0,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,1
0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,1
0,0,1.92,0,0,0,0.32,3.85,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,1
0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,1
0.15,0,0.61,0.3,0,0,0.15,1.23,3.53,2,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.3,0,0,0,0.271,0.022,1
0.06,0,0.19,0.38,0.12,0,0.12,1.67,0.06,0.71,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0,1
0,0,0,0.96,0,0,0.96,3.84,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,1
0,0,0.38,0.25,0,0,0,1.16,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.044,0,1
0,0,0.34,0,0,0,1.39,2.09,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,1
0,0,0.9,0.9,0,0,0,2.72,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.71,0,0,0,0,3.21,0,2.85,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,1
