@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S39

@attribute word_freq_make numeric
@attribute word_freq_all numeric
@attribute word_freq_receive numeric
@attribute word_freq_will numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_business numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_george numeric
@attribute word_freq_labs numeric
@attribute word_freq_415 numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_direct numeric
@attribute word_freq_cs numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_edu numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_$ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data

0,0.64,0,0.64,0,0,0,1.29,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0.21,0.5,0.21,0.79,0.21,0.14,0.07,0.28,3.47,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.132,0,0.18,0.048,101,1
0.06,0.71,0.38,0.45,0,1.75,0.06,1.03,1.36,0,0,0,0,0,0,0,0,0.06,0,0,0.12,0,0.06,0.01,0.143,0,0.184,0.01,485,1
0,0,0.31,0.31,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0,0,40,1
0,0,0.31,0.31,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,15,1
0,0,0.96,1.28,0,0,0,0.32,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.054,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,11,1
0.15,0.46,0.76,0.92,0,0,0,0.15,1.23,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.271,0,0.203,0.022,445,1
0.06,0.77,0,0.64,0,0.12,0,0.12,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.04,0.03,0,0.081,0,43,1
0,0,0.96,0,0,0,0,0.96,3.84,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,6,1
0,0.25,0.12,0.12,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.044,0,0,0,11,1
0,0.34,0,0.69,0,0,0,1.39,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,61,1
0,0,0.9,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0,1.42,0,0.35,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0,24,1
0,0.42,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,1.27,0.42,0,0,0,0,0,0,0.063,0,0.063,0,55,1
0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,95,1
0,0.55,0,0,0,0.18,0.37,0.37,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,4,1
0,0,0,0.63,0,1.27,0.31,3.18,2.22,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0.275,0,0.496,0,91,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0,0,9,1
0.05,0.1,0.1,0.47,0,0,0.02,0.13,2.09,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0.042,0.101,0.016,0.046,0.059,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.404,0,0,0,12,1
0,0,0,0.58,0,0,0,1.16,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.196,0,22,1
0.05,0.1,0.1,0.47,0,0,0.02,0.13,2.09,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0.042,0.101,0.016,0.046,0.059,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.196,0,22,1
0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,0,11,1
0,0,0.65,0.65,0,0,1.3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0,0,66,1
1.17,0,0,1.17,0,0,1.17,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,0,11,1
0,0,0,0.81,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0.091,0,11,1
0,0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,5,1
0,0,1.36,0,0,0,0,0,2.04,0.68,0,0,0,0,0.68,0,1.36,0,0,0,0,0,0,0,0,0.185,0,0,30,1
0,2.56,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.436,0,0,0,12,1
0,0.48,0,0.97,0,0,0.97,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0.244,0,78,1
0,0.48,0,0.97,0,0,0,0.97,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,61,1
0,1.66,0,0.41,0,0,0,0.83,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,121,1
0.3,0,0,0.3,0,0,0,0.3,2.76,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.051,0,0.207,0,30,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.335,0,0,0,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.355,0,0,0,12,1
0,0.55,0,0.18,0,0.18,0.37,0.37,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,4,1
0,0,0.26,0.52,0,0,1.56,0.26,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.036,0.147,38,1
0.15,1.05,0,0.9,0,0.3,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.068,0,130,1
0.18,0.18,0.06,0.54,0.06,0,0.72,0.06,4.54,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.01,0.052,0,0.167,0,12,1
