@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S40

@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_over numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_mail numeric
@attribute word_freq_people numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_free numeric
@attribute word_freq_business numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_font numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_857 numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_parts numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_( numeric
@attribute char_freq_# numeric
@attribute capital_run_length_average numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0.64,0.64,0,0,0,0,0,0,0,0.32,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.756,278,1
0.28,0.5,0.28,0.07,0,0.94,0.65,0.21,0.14,0.14,0.07,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0.048,5.114,1028,1
0,0.71,0.19,0.12,0.64,0.25,0.12,0,1.75,0.06,0.06,1.36,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.01,9.821,2259,1
0,0,0,0.63,0.31,0.63,0.31,0,0,0.31,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,3.537,191,1
0,0,0,0.63,0.31,0.63,0.31,0,0,0.31,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,3.537,191,1
0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,3,54,1
0,0,0,0,0,0.64,0,0,0,0.96,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,1.671,112,1
0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,2.45,49,1
0,0.46,0,0,0.92,0.76,0,0,0,0,0,1.23,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.022,9.744,1257,1
0.12,0.77,0.32,0,0.06,0,0.25,0,0.12,0,0,1.67,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,1.729,749,1
0,0,0,0,0,1.92,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.312,21,1
0,0.25,0.25,0,0,0,0.12,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,1.243,184,1
0.69,0.34,0,0,0,0,0,0,0,0.34,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,3.728,261,1
0,0,0,0,0,0.9,0.9,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,25,1
0,1.42,0.35,0.35,0,0.71,0,0,0,5.35,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,1.971,205,1
0.42,0.42,0,0,0,1.27,0,0,0,1.27,0,1.7,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,5.659,249,1
0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.652,107,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.461,461,1
0,0.55,0,0,0,0,0.92,0,0.18,0,0.37,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,1.32,70,1
0.63,0,0.31,0,0.31,0,0,0,1.27,0.63,0.31,2.22,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0.275,0,3.509,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,3.833,23,1
0.07,0.1,0.05,0.02,0.55,0,0.02,0,0,0,0.02,2.09,0.1,0,0,0,0,0,0,0,0,0.02,0,0,0,0.101,0.059,2.569,2259,1
0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,4.857,34,1
0,0,0,0,0,0,0,0,0,1.16,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,1.131,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,5.466,82,1
0.07,0.1,0.05,0.02,0.55,0,0.02,0,0,0,0.02,2.09,0.1,0,0,0,0,0,0,0,0,0.02,0,0,0,0.101,0.059,2.565,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,5.466,82,1
0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.611,47,1
0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,4,36,1
0,0,0,0,0,0,0,0,0,0.65,1.3,1.3,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,2.687,129,1
0,0,0,0,0,0,0,0,0,0,1.17,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.966,59,1
0,3.03,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,3.909,43,1
