@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S41

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_3d numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_mail numeric
@attribute word_freq_people numeric
@attribute word_freq_addresses numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_lab numeric
@attribute word_freq_telnet numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_pm numeric
@attribute word_freq_direct numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_edu numeric
@attribute char_freq_[ numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_average numeric
@attribute class {0,1}

@data

0,0.64,0,0,0,0,0,0,0,1.29,1.93,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.756,1
0.21,0.28,0,0.28,0.21,0.07,0.94,0.65,0.14,0.28,3.47,1.59,0,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.18,5.114,1
0.06,0,0,0.19,0.19,0.12,0.25,0.12,1.75,1.03,1.36,0.51,0,1.16,0.06,0,0,0,0,0,0,0.06,0,0.12,0,0.06,0,0.184,9.821,1
0,0,0,0,0.31,0.63,0.63,0.31,0,0,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.537,1
0,0,0,0,0.31,0.63,0.63,0.31,0,0,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.537,1
0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0.64,0,0,0.32,3.85,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,1.671,1
0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,1
0.15,0,0,0,0.3,0,0.76,0,0,0.15,1.23,2,0,0,0.15,0,0,0,0,0,0,0,0,0.3,0,0,0,0.203,9.744,1
0.06,0.12,0,0.32,0.38,0,0,0.25,0.12,0.12,1.67,0.71,0,0.19,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.081,1.729,1
