@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S43

@attribute word_freq_address numeric
@attribute word_freq_3d numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_mail numeric
@attribute word_freq_will numeric
@attribute word_freq_business numeric
@attribute word_freq_you numeric
@attribute word_freq_your numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_george numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_parts numeric
@attribute word_freq_pm numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_edu numeric
@attribute char_freq_( numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data

0.64,0,0,0,0,0,0,0.64,0,1.93,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,0,61,1
0.28,0,0.28,0.21,0.07,0,0.94,0.79,0.07,3.47,1.59,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0.372,0.18,0.048,101,1
0,0,0.19,0.19,0.12,0.64,0.25,0.45,0.06,1.36,0.51,0.06,0,0,0,0,0,0,0,0,0,0.12,0,0.06,0.143,0.276,0.184,0.01,485,1
0,0,0,0.31,0.63,0.31,0.63,0.31,0,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0.137,0,0,40,1
0,0,0,0.31,0.63,0.31,0.63,0.31,0,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0.135,0,0,40,1
0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,15,1
0,0,0,0,0,0,0.64,1.28,0,3.85,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0.164,0.054,0,4,1
0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,11,1
0,0,0,0.3,0,0.92,0.76,0.92,0,1.23,2,0.15,0,0,0,0,0,0,0,0,0,0.3,0,0,0.271,0.181,0.203,0.022,445,1
0.12,0,0.32,0.38,0,0.06,0,0.64,0,1.67,0.71,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.03,0.244,0.081,0,43,1
0,0,0,0.96,0,0,1.92,0,0,3.84,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,6,1
0,0,0.25,0.25,0,0,0,0.12,0,1.16,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.663,0,0,11,1
0.69,0,0,0,0,0,0,0.69,0,2.09,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.786,0,0,61,1
0,0,0,0.9,0,0,0.9,0,0,2.72,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0,0,0.35,0,0.35,0,0.71,0.35,0,3.21,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0.357,0,0,24,1
0.42,0,0,0.42,0,0,1.27,0,0,1.7,1.27,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.572,0.063,0,55,1
0,0,0,0,0,0,0,0,0,1.88,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,0,31,1
0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,0.37,0,95,1
0,0,0,0.18,0,0,0,0,0.37,3.15,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.455,0,0,4,1
0.63,0,0.31,0,0,0.31,0,0.63,0.31,2.22,1.91,0.63,0,0,0.31,0,0,0,0,0,0,0,0,0,0.275,0.055,0.496,0,91,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0.729,0,0,9,1
0.07,0,0.05,0.15,0.02,0.55,0,0.47,0.02,2.09,1.57,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.101,0.25,0.046,0.059,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.809,0,0,12,1
0,0,0,0,0,0,0,0.58,0,1.16,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.667,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.392,0.196,0,22,1
0.07,0,0.05,0.15,0.02,0.55,0,0.47,0.02,2.09,1.57,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.101,0.25,0.046,0.059,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.392,0.196,0,22,1
0,0,0,1.66,0,0,0,0,0,3.33,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0.352,0,0,11,1
0,0,0,0.65,0,0,0,0.65,1.3,1.3,1.3,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0.091,0,0,66,1
0,0,0,0,0,0,0,1.17,1.17,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886,0,0,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,2.112,0,0,11,1
0,0,0.27,0,0,0,0,0.81,0,3.51,2.7,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0.091,0,11,1
0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,5,1
0.68,0,0,0,0,0,0.68,0,0,2.04,0.68,0,0.68,0,0.68,0,0.68,0,0,0,0,0,0,0,0,0,0,0,30,1
0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,1.543,0,0,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.873,0,0,12,1
0,0,0,0.48,0,0,0,0.97,0.97,2.43,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0.488,0.244,0,78,1
0.48,0,0,0,0,0,0,0.97,0,1.46,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.963,0,0,61,1
0.41,0,0,0,0,0,0,0.41,0,2.08,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0.75,0,0,121,1
0,0,0.92,0,2.45,0,0,0.3,0,2.76,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.207,0.207,0,30,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.671,0,0,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.711,0,0,12,1
0,0,0,0.18,0,0,0,0.18,0.37,3.15,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.426,0,0,4,1
0,0,0,0.26,0.52,0,0.26,0.52,1.56,1.82,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.813,0.036,0.147,38,1
0.45,0,0,0,1.81,0.6,0.75,0.9,0,4.07,1.51,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.318,0.068,0,130,1
0,0,0.36,0.06,0.06,0.06,0.12,0.54,0.72,4.54,1.09,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0,0.052,0.01,0.167,0,12,1
0,0,0.99,0,0,0,0.99,2.48,0.99,3.48,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.17,0,0,8,1
0.3,0,0.12,0.05,0.28,0.43,0.74,0.97,0.43,3.22,1.46,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.325,0.756,0.153,193,1
0.46,0,0.33,0.06,0.33,0,1.12,0.73,0,3.51,0.66,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0.278,0.23,0.084,40,1
1.92,0,0,0,0,0,0,1.92,0,1.92,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
0.36,0,0.73,0.73,1.09,0.36,0.36,0.36,0.36,2.19,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.498,0.332,0,30,1
0.12,0,0.32,0.38,0,0.06,0,0.64,0,1.67,0.7,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.03,0.244,0.071,0,43,1
1.26,0,1.26,0,0,0,0,1.26,0,0,1.26,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0.198,0.596,0,17,1
0.36,0,0.73,0.73,1.1,0.36,0.36,0.36,0.36,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.5,0.333,0,30,1
0,0,0,0,0,0,0,0,0,1.08,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.478,0,0,30,1
0,0,0,1.04,0,0,0,1.04,1.04,3.66,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,0.615,0.061,0.061,59,1
0,0,0,0,0,0,0,2.53,0,2.53,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0.45,0,0,0,0,0,0,0.45,0,1.36,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.501,0,0,61,1
0.42,0,0,0,0,0,0,0.42,0,2.1,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0.669,0,0,121,1
