@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S44

@attribute word_freq_all numeric
@attribute word_freq_over numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_receive numeric
@attribute word_freq_will numeric
@attribute word_freq_addresses numeric
@attribute word_freq_business numeric
@attribute word_freq_email numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_telnet numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_parts numeric
@attribute word_freq_pm numeric
@attribute word_freq_original numeric
@attribute word_freq_table numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute char_freq_# numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0.64,0,0,0,0,0.64,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,0,278,1
0.5,0.28,0.21,0.07,0.21,0.79,0.14,0.07,0.28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0.372,0.18,0.048,1028,1
0.71,0.19,0.19,0.12,0.38,0.45,1.75,0.06,1.03,1.16,0.06,0,0,0,0,0,0,0,0,0,0.12,0,0.01,0.143,0,0.276,0.184,0.01,2259,1
0,0,0.31,0.63,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0.137,0,0,191,1
0,0,0.31,0.63,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,0,0,191,1
0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,54,1
0,0,0,0,0.96,1.28,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.164,0.054,0,112,1
0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,0,49,1
0.46,0,0.3,0,0.76,0.92,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0.3,0,0,0.271,0,0.181,0.203,0.022,1257,1
0.77,0.32,0.38,0,0,0.64,0.12,0,0.12,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0,0.244,0.081,0,749,1
