@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S46

@attribute word_freq_all numeric
@attribute word_freq_3d numeric
@attribute word_freq_our numeric
@attribute word_freq_over numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_receive numeric
@attribute word_freq_will numeric
@attribute word_freq_people numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_business numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_labs numeric
@attribute word_freq_data numeric
@attribute word_freq_technology numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_meeting numeric
@attribute word_freq_re numeric
@attribute word_freq_table numeric
@attribute char_freq_( numeric
@attribute capital_run_length_average numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data

0.64,0,0.32,0,0,0,0,0.64,0,0,0,0,1.93,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,3.756,61,1
0.5,0,0.14,0.28,0.07,0,0.21,0.79,0.65,0.21,0.14,0.07,3.47,0,1.59,0,0.43,0,0,0,0,0,0,0,0,0,0.132,5.114,101,1
0.71,0,1.23,0.19,0.12,0.64,0.38,0.45,0.12,0,1.75,0.06,1.36,0.32,0.51,0,0.06,0,0,0,0,0,0.06,0,0.06,0,0.143,9.821,485,1
0,0,0.63,0,0.63,0.31,0.31,0.31,0.31,0,0,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0.137,3.537,40,1
0,0,0.63,0,0.63,0.31,0.31,0.31,0.31,0,0,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0.135,3.537,40,1
0,0,1.85,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,3,15,1
0,0,1.92,0,0,0,0.96,1.28,0,0,0,0,3.85,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.054,1.671,4,1
0,0,1.88,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,2.45,11,1
0.46,0,0.61,0,0,0.92,0.76,0.92,0,0,0,0,1.23,3.53,2,0,0.15,0,0,0.15,0,0,0,0,0,0,0.271,9.744,445,1
0.77,0,0.19,0.32,0,0.06,0,0.64,0.25,0,0.12,0,1.67,0.06,0.71,0,0,0,0,0,0,0,0,0,0,0,0.03,1.729,43,1
0,0,0,0,0,0,0.96,0,0,0,0,0,3.84,0,0.96,0,0,0,0,0,0,0,0.96,0,0,0,0,1.312,6,1
0.25,0,0.38,0.25,0,0,0.12,0.12,0.12,0,0,0,1.16,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0.044,1.243,11,1
0.34,0,0.34,0,0,0,0,0.69,0,0,0,0,2.09,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0.056,3.728,61,1
0,0,0.9,0,0,0,0.9,0,0.9,0,0,0,2.72,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2.083,7,1
1.42,0,0.71,0.35,0.35,0,0,0.35,0,0,0,0,3.21,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0.102,1.971,24,1
0.42,0,1.27,0,0,0,0,0,0,0,0,0,1.7,0.42,1.27,0,0.42,0,0,0,0,0,0.42,0,0,0,0.063,5.659,55,1
0,0,0.94,0,0,0,0,0,0,0,0,0,1.88,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,4.652,31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,35.461,95,1
0.55,0,1.11,0,0,0,0,0,0.92,0,0.18,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0.182,1.32,4,1
0,0,1.59,0.31,0,0.31,0,0.63,0,0,1.27,0.31,2.22,0,1.91,0,0.63,0,0,0,0,0,1.59,0,0,0,0.275,3.509,91,1
