@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S47

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_mail numeric
@attribute word_freq_receive numeric
@attribute word_freq_people numeric
@attribute word_freq_report numeric
@attribute word_freq_email numeric
@attribute word_freq_font numeric
@attribute word_freq_hp numeric
@attribute word_freq_george numeric
@attribute word_freq_650 numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_telnet numeric
@attribute word_freq_415 numeric
@attribute word_freq_85 numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_pm numeric
@attribute word_freq_project numeric
@attribute word_freq_edu numeric
@attribute word_freq_table numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_average numeric
@attribute capital_run_length_longest numeric
@attribute class {0,1}

@data

0,0.64,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,3.756,61,1
0.21,0.28,0.94,0.21,0.65,0.21,0.28,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.132,0,0.372,0.18,5.114,101,1
0.06,0,0.25,0.38,0.12,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.143,0,0.276,0.184,9.821,485,1
0,0,0.63,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0.137,0,3.537,40,1
0,0,0.63,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,0,3.537,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,3,15,1
0,0,0.64,0.96,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.164,0.054,1.671,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,2.45,11,1
0.15,0,0.76,0.76,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0,0.181,0.203,9.744,445,1
0.06,0.12,0,0,0.25,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.03,0,0.244,0.081,1.729,43,1
0,0,1.92,0.96,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,1.312,6,1
0,0,0,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0.663,0,1.243,11,1
0,0.69,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0.786,0,3.728,61,1
0,0,0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,7,1
0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0.357,0,1.971,24,1
0,0.42,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0.063,0,0.572,0.063,5.659,55,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,4.652,31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,0.37,35.461,95,1
0,0,0,0,0.92,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0.455,0,1.32,4,1
0,0.63,0,0,0,0,3.18,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0.055,0.496,3.509,91,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0.729,0,3.833,9,1
0.05,0.07,0,0.1,0.02,0,0.13,0,0,0,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0.101,0.016,0.25,0.046,2.569,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0.809,0,4.857,12,1
0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0.667,0,1.131,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.392,0.196,5.466,22,1
0.05,0.07,0,0.1,0.02,0,0.13,0,0,0,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0.101,0.016,0.25,0.046,2.565,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.392,0.196,5.466,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,2.611,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0.352,0,4,11,1
0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0.091,0,2.687,66,1
1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886,0,1.966,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,2.112,0,3.909,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0.091,1.39,11,1
0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,1.7,5,1
0,0.68,0.68,1.36,0,0,0,0,0.68,0,0.68,0,0,1.36,0,0.68,0,1.36,0,0,0,0,0,0,0.185,0,0,3.826,30,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,1.543,0,2.777,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0,0.873,0,4.142,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0.488,0.244,5.431,78,1
0,0.48,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.963,0,3.1,61,1
0,0.41,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0.75,0,3.851,121,1
0.3,0,0,0,1.53,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.051,0,0.207,0.207,2.132,30,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0.671,0,4,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,0.711,0,4,12,1
0,0,0,0,0.92,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0.426,0,1.283,4,1
0,0,0.26,0.26,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.813,0.036,2.145,38,1
0.15,0.45,0.75,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.318,0.068,5.301,130,1
0.18,0,0.12,0.06,0.3,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0.01,0.167,1.733,12,1
0.49,0,0.99,0.99,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.17,0,1.468,8,1
0.46,0.3,0.74,0.25,0.56,1.23,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.325,0.756,5.891,193,1
0.46,0.46,1.12,0.39,0.79,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0.278,0.23,3.887,40,1
0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,12,1
0.73,0.36,0.36,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.498,0.332,3.254,30,1
0.06,0.12,0,0,0.25,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.03,0,0.244,0.071,1.732,43,1
0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0.198,0.596,3.833,17,1
0.73,0.36,0.36,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0.5,0.333,3.259,30,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.478,0,2,30,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,0,0.615,0.061,3.318,59,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.642,8,1
0,0.45,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.501,0,2.777,61,1
0,0.42,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0.669,0,3.837,121,1
0,0.59,0.59,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,8.586,66,1
0.23,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0.175,0,1.294,11,1
0,0,0,0.46,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,1.442,8,1
0,0.34,0.34,0.34,0,0,1.36,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.048,1.411,15,1
0.12,0.24,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.059,0,0.019,0.019,1.714,34,1
0.66,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.205,0,3.184,34,1
0,0.48,0.97,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0.073,0,0.589,0.294,4.85,47,1
0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.214,3,1
0.3,0,0.92,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,1.053,0.351,3.884,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0.201,0,0,0.1,4.548,59,1
0,0,1.26,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,72.5,287,1
0,0.53,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0.877,0,3.4,61,1
0,0.44,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0.807,0,3.849,121,1
0,0.46,0,0.46,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298,0.223,2.156,13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0.486,0.243,5.13,78,1
0,0.94,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.366,0,26.5,245,1
0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0.165,0.082,2.325,16,1
0.75,0.18,0.31,0.25,0.31,0.37,0.12,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.085,0.053,0.437,0.234,3.675,45,1
0,0.41,1.04,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0.132,0,1.65,15,1
0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,1.666,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.431,0,4.071,29,1
0,0,0.95,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0,0,0,0,0,0.123,0,0.197,0,5.038,280,1
0,0.72,0,0.72,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0.495,0,1.525,8,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0.724,0,3.071,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0.834,0,5.13,27,1
0,0.46,0.93,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0.071,0,0.571,0.214,4.63,64,1
0,0,0,0,0.38,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0.061,0.061,1.775,20,1
0,0.79,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0.268,0,2.815,26,1
0.06,0.06,0.06,0,0.13,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0.096,0.085,3.353,144,1
0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,1.153,0,0,0,3.8,23,1
0,0.56,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.083,0.333,4.974,140,1
0.47,0.31,0.76,0.26,0.58,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0.322,0.764,6.1,193,1
0.59,0.44,0.67,0.29,0.59,1.23,0.07,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.075,0,0.613,0.532,7.3,763,1
0.59,0.44,0.67,0.29,0.59,1.23,0.07,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.075,0,0.612,0.531,7.3,763,1
0.46,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494,0,0.082,0.823,3.4,12,1
0,0,0,0.46,0,0,1.4,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.676,32,1
0,0.35,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,1.284,0,3.639,61,1
0,0.43,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0.736,0,2.81,61,1
0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0.414,0.31,0,4.897,17,1
1.24,0.41,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.461,0.527,3.166,19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,1.153,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.189,0.284,0.662,0,10.068,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.611,0,1.529,0,5.5,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.189,0.284,0.662,0,10.068,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.611,0,1.529,0,5.5,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.189,0.284,0.662,0,10.068,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.611,0,1.529,0,5.5,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0.231,0.347,0.462,0,5.793,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0.611,0,1.529,0,5.5,22,1
0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.166,60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.907,0,1.285,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,0,2.913,27,1
0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,3.836,79,1
0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,0,1.238,6,1
0.12,1.76,3.9,0.5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,0.159,0,0.119,4.155,38,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.542,0,1.972,19,1
0.05,0.3,0,0,0.2,0,0.5,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.045,0,0.054,0.118,2.37,96,1
0.05,0.3,0,0,0.2,0,0.5,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.036,0,0.054,0.118,2.379,96,1
0,0,1.28,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542,0,102.666,304,1
0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,1.158,0.331,4.875,140,1
0.05,0.3,0,0,0.2,0,0.5,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.045,0,0.054,0.118,2.37,96,1
0.05,0.3,0,0,0.2,0,0.5,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.036,0,0.054,0.118,2.379,96,1
0.5,0.46,0.65,0.3,0.65,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0.335,1.281,7.202,595,1
0,0.32,0.48,0.16,0.16,0,0.8,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.024,5.709,149,1
