@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S51

@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_remove numeric
@attribute word_freq_internet numeric
@attribute word_freq_mail numeric
@attribute word_freq_will numeric
@attribute word_freq_people numeric
@attribute word_freq_addresses numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_money numeric
@attribute word_freq_hpl numeric
@attribute word_freq_george numeric
@attribute word_freq_data numeric
@attribute word_freq_85 numeric
@attribute word_freq_parts numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_project numeric
@attribute word_freq_re numeric
@attribute word_freq_edu numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_longest numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0.64,0.64,0,0,0,0.64,0,0,1.29,1.93,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,278,1
0.28,0.5,0.21,0.07,0.94,0.79,0.65,0.14,0.28,3.47,0,1.59,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.18,101,1028,1
0,0.71,0.19,0.12,0.25,0.45,0.12,1.75,1.03,1.36,0.32,0.51,0,0.06,0,0,0,0,0,0,0.12,0,0.06,0.06,0,0,0.184,485,2259,1
0,0,0.31,0.63,0.63,0.31,0.31,0,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,191,1
0,0,0.31,0.63,0.63,0.31,0.31,0,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,191,1
0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,54,1
0,0,0,0,0.64,1.28,0,0,0.32,3.85,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,4,112,1
0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,49,1
0,0.46,0.3,0,0.76,0.92,0,0,0.15,1.23,3.53,2,0,0.15,0,0,0.15,0,0,0,0.3,0,0,0,0,0,0.203,445,1257,1
0.12,0.77,0.38,0,0,0.64,0.25,0.12,0.12,1.67,0.06,0.71,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.081,43,749,1
0,0,0.96,0,1.92,0,0,0,0.96,3.84,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,1
0,0.25,0.25,0,0,0.12,0.12,0,0,1.16,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,184,1
0.69,0.34,0,0,0,0.69,0,0,1.39,2.09,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,261,1
0,0,0.9,0,0.9,0,0.9,0,0,2.72,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,1
0,1.42,0,0.35,0.71,0.35,0,0,0,3.21,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,205,1
0.42,0.42,0.42,0,1.27,0,0,0,0,1.7,0.42,1.27,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0.063,55,249,1
0,0,0,0,0,0,0,0,0,1.88,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,107,1
0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,95,461,1
0,0.55,0.18,0,0,0,0.92,0.18,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,70,1
0.63,0,0,0,0,0.63,0,1.27,3.18,2.22,0,1.91,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.496,91,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,1
0.07,0.1,0.15,0.02,0,0.47,0.02,0,0.13,2.09,0.1,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,66,2259,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,1
0,0,0,0,0,0.58,0,0,1.16,1.16,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0.196,22,82,1
0.07,0.1,0.15,0.02,0,0.47,0.02,0,0.13,2.09,0.1,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,66,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0.196,22,82,1
0,0,1.66,0,0,0,0,0,0,3.33,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,1
0,0,0.65,0,0,0.65,0,0,0,1.3,5.22,1.3,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,66,129,1
0,0,0,0,0,1.17,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,10,59,1
0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,1
0,0,0,0,0,0.81,0,0,0,3.51,0,2.7,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.091,11,89,1
0,0,0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,5,17,1
0.68,0,0,0,0.68,0,0,0,0,2.04,0,0.68,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,30,264,1
0,2.56,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,1
0,0.48,0.48,0,0,0.97,0,0,0,2.43,0,2.43,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0.244,78,239,1
0.48,0.48,0,0,0,0.97,0,0,0.97,1.46,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,186,1
0.41,1.66,0,0,0,0.41,0,0,0.83,2.08,0,1.25,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,121,285,1
0,0,0,2.45,0,0.3,1.53,0,0.3,2.76,0,0.61,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.207,30,226,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,1
0,0.55,0.18,0,0,0.18,0.92,0.18,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,1
0,0,0.26,0.52,0.26,0.52,0,0,0.26,1.82,2.08,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,38,339,1
0.45,1.05,0,1.81,0.75,0.9,0.3,0.3,0,4.07,0,1.51,0,0.3,0,0,0,0,0,0,0,0,0.15,0,0,0,0.068,130,774,1
0,0.18,0.06,0.06,0.12,0.54,0.3,0,0.06,4.54,0.24,1.09,0,0.06,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0.167,12,442,1
0,0.99,0,0,0.99,2.48,0.49,0,0,3.48,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,94,1
0.3,0.46,0.05,0.28,0.74,0.97,0.56,0,0.02,3.22,0,1.46,0,0.36,0,0,0,0,0,0,0,0,0.02,0,0,0,0.756,193,3040,1
0.46,0.26,0.06,0.33,1.12,0.73,0.79,0.26,0.26,3.51,0,0.66,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.23,40,898,1
1.92,0,0,0,0,1.92,0,0,0,1.92,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,1
0.36,1.09,0.73,1.09,0.36,0.36,0,0,0.36,2.19,2.19,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,30,179,1
0.12,0.77,0.38,0,0,0.64,0.25,0.12,0.12,1.67,0.06,0.7,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.071,43,750,1
1.26,0,0,0,0,1.26,0,0,0,0,0,1.26,0,1.26,0,0,0,0,0,0,0,0,1.26,0,0,0,0.596,17,69,1
0.36,0.73,0.73,1.1,0.36,0.36,0,0,0.36,2.2,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,30,176,1
0,0,0,0,0,0,0,0,0,1.08,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,106,1
0,0,1.04,0,0,1.04,0,0,0,3.66,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,59,146,1
0,1.26,0,0,0,2.53,0,0,0,2.53,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51,1
0.45,0.45,0,0,0,0.45,0,0,0.91,1.36,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,200,1
0.42,1.68,0,0,0,0.42,0,0,0.84,2.1,0,1.68,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,121,284,1
0.59,0,0.59,0,0.59,0.59,0,0,1.18,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,249,1
