@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S53

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_3d numeric
@attribute word_freq_our numeric
@attribute word_freq_over numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_mail numeric
@attribute word_freq_will numeric
@attribute word_freq_people numeric
@attribute word_freq_report numeric
@attribute word_freq_free numeric
@attribute word_freq_email numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_george numeric
@attribute word_freq_lab numeric
@attribute word_freq_technology numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_project numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_average numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0,0.64,0,0.32,0,0,0,0,0.64,0,0,0.32,1.29,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,3.756,278,1
0.21,0.28,0,0.14,0.28,0.07,0,0.94,0.79,0.65,0.21,0.14,0.28,0,1.59,0,0,0,0.07,0,0,0,0,0,0,0.132,0.18,5.114,1028,1
0.06,0,0,1.23,0.19,0.12,0.64,0.25,0.45,0.12,0,0.06,1.03,0.32,0.51,0,0,0,0,0,0.06,0,0,0,0.01,0.143,0.184,9.821,2259,1
0,0,0,0.63,0,0.63,0.31,0.63,0.31,0.31,0,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0.137,0,3.537,191,1
0,0,0,0.63,0,0.63,0.31,0.63,0.31,0.31,0,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0.135,0,3.537,191,1
0,0,0,1.85,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,3,54,1
0,0,0,1.92,0,0,0,0.64,1.28,0,0,0.96,0.32,0,0.64,0,0,0,0,0,0,0,0,0,0,0.054,0.054,1.671,112,1
0,0,0,1.88,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,2.45,49,1
0.15,0,0,0.61,0,0,0.92,0.76,0.92,0,0,0,0.15,3.53,2,0,0,0,0,0,0,0,0,0,0,0.271,0.203,9.744,1257,1
0.06,0.12,0,0.19,0.32,0,0.06,0,0.64,0.25,0,0,0.12,0.06,0.71,0,0,0,0,0,0,0.06,0,0,0.04,0.03,0.081,1.729,749,1
0,0,0,0,0,0,0,1.92,0,0,0,0,0.96,0,0.96,0,0,0,0,0,0.96,0,0,0,0,0,0,1.312,21,1
0,0,0,0.38,0.25,0,0,0,0.12,0.12,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.022,0.044,0,1.243,184,1
0,0.69,0,0.34,0,0,0,0,0.69,0,0,0.34,1.39,0,1.04,0,0,0,0,0,0,0,0,0,0,0.056,0,3.728,261,1
0,0,0,0.9,0,0,0,0.9,0,0.9,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2.083,25,1
0,0,0,0.71,0.35,0.35,0,0.71,0.35,0,0,5.35,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0.102,0,1.971,205,1
0,0.42,0,1.27,0,0,0,1.27,0,0,0,1.27,0,0.42,1.27,0,0,0,1.27,0,0.42,0,0,0,0,0.063,0.063,5.659,249,1
0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,4.652,107,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0.37,35.461,461,1
0,0,0,1.11,0,0,0,0,0,0.92,0,0,0.37,0,0.92,0,0,0,0,0,0,0,0,0,0,0.182,0,1.32,70,1
0,0.63,0,1.59,0.31,0,0.31,0,0.63,0,0,0.63,3.18,0,1.91,0,0,0,0,0,1.59,0,0,0,0,0.275,0.496,3.509,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,3.833,23,1
0.05,0.07,0,0.76,0.05,0.02,0.55,0,0.47,0.02,0,0,0.13,0.1,1.57,0,0,0.02,0.1,0,0,0,0,0,0.042,0.101,0.046,2.569,2259,1
0,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.404,0,4.857,34,1
0,0,0,1.16,0,0,0,0,0.58,0,0,1.16,1.16,0,1.75,0,0,0,0,0,0,0,0,0,0,0.133,0,1.131,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.196,5.466,82,1
0.05,0.07,0,0.76,0.05,0.02,0.55,0,0.47,0.02,0,0,0.13,0.1,1.57,0,0,0.02,0.1,0,0,0,0,0,0.042,0.101,0.046,2.565,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.196,5.466,82,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.611,47,1
0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,4,36,1
0,0,0,0.65,0,0,0,0,0.65,0,0,0.65,0,5.22,1.3,0,0,0,0,0,0,0,0,0,0,0.459,0,2.687,129,1
1.17,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.966,59,1
0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,3.909,43,1
0,0,0,1.89,0.27,0,0,0,0.81,0,0,0.27,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0.045,0.091,1.39,89,1
0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,1.7,17,1
0,0.68,0,0,0,0,0,0.68,0,0,0,0,0,0,0.68,0,0,0,1.36,0,0,0,0,0,0,0,0,3.826,264,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,2.777,25,1
0,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.436,0,4.142,29,1
0,0,0,1.46,0,0,0,0,0.97,0,0,0.48,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0.081,0.244,5.431,239,1
0,0.48,0,0.48,0,0,0,0,0.97,0,0,0.48,0.97,0,0.97,0,0,0,0,0,0,0,0,0,0,0.08,0,3.1,186,1
0,0.41,0,0.41,0,0,0,0,0.41,0,0,0.41,0.83,0,1.25,0,0,0,0,0,0,0,0,0,0,0.068,0,3.851,285,1
0.3,0,0,0.61,0.92,2.45,0,0,0.3,1.53,0,0,0.3,0,0.61,0,0,0,0.3,0,0,0,0,0,0,0.051,0.207,2.132,226,1
0,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.335,0,4,28,1
0,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.355,0,4,28,1
0,0,0,1.11,0,0,0,0,0.18,0.92,0,0,0.37,0,0.92,0,0,0,0,0,0,0,0,0,0,0.182,0,1.283,68,1
0,0,0,0.52,0,0.52,0,0.26,0.52,0,0,0.26,0.26,2.08,0.26,0,0,0,0,0,0,0,0,0,0,0.073,0.036,2.145,339,1
0.15,0.45,0,0.45,0,1.81,0.6,0.75,0.9,0.3,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0.25,0.068,5.301,774,1
0.18,0,0,1.57,0.36,0.06,0.06,0.12,0.54,0.3,0.06,0,0.06,0.24,1.09,0,0,0,0,0,0,0,0,0,0.01,0.052,0.167,1.733,442,1
0.49,0,0,0,0.99,0,0,0.99,2.48,0.49,0,4.97,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0.34,0,1.468,94,1
0.46,0.3,0,0.05,0.12,0.28,0.43,0.74,0.97,0.56,1.23,0.25,0.02,0,1.46,0,0,0,0,0,0,0,0,0,0,0.065,0.756,5.891,3040,1
0.46,0.46,0,0,0.33,0.33,0,1.12,0.73,0.79,0,0.26,0.26,0,0.66,0,0,0,0,0,0,0,0,0,0.036,0.084,0.23,3.887,898,1
0,1.92,0,1.92,0,0,0,0,1.92,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,2.75,33,1
0.73,0.36,0,0,0.73,1.09,0.36,0.36,0.36,0,0,1.09,0.36,2.19,2.19,0,0,0,0,0,0,0,0,0,0,0.11,0.332,3.254,179,1
0.06,0.12,0,0.19,0.32,0,0.06,0,0.64,0.25,0,0,0.12,0.06,0.7,0,0,0,0,0,0,0.06,0,0,0.04,0.03,0.071,1.732,750,1
0,1.26,0,0,1.26,0,0,0,1.26,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0.198,0.596,3.833,69,1
0.73,0.36,0,0,0.73,1.1,0.36,0.36,0.36,0,0,1.1,0.36,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0.111,0.333,3.259,176,1
0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,2,106,1
0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0.061,0.246,0.061,3.318,146,1
0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,3.642,51,1
0,0.45,0,0.45,0,0,0,0,0.45,0,0,0.45,0.91,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,2.777,200,1
0,0.42,0,0.42,0,0,0,0,0.42,0,0,0.42,0.84,0,1.68,0,0,0,0,0,0,0,0,0,0,0.066,0,3.837,284,1
0,0.59,0,0,0,0,0,0.59,0.59,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,8.586,249,1
0.23,0,0,0.23,0,0,0,0,0,0,0.23,0.23,0,0,1.89,0,0,0,0,0,0,0,0,0,0.043,0.043,0,1.294,66,1
0,0,0,1.39,0,0.93,0,0,0.93,0,0,1.39,0.46,0,0.46,0,0,0,0,0.46,0,0,0,0,0.069,0,0,1.442,75,1
0,0.34,0,0.68,0,0,0,0.34,0,0,0,0.34,1.36,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0.048,1.411,96,1
0.12,0.24,0,1.32,0.36,0.36,0,0,0.72,0,0,0,0,0,3.01,0,0,0,0.12,0,0.12,0,0,0,0,0.059,0.019,1.714,180,1
0.66,0,0,0,0,0,0,0.66,0,0,0,1.98,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,3.184,121,1
0,0.48,0,1.46,0,0,0,0.97,0,0,0,0.48,0,0.48,1.95,0,0,0,1.46,0,0.48,0,0,0,0,0.073,0.294,4.85,194,1
0,0,0,0,0,0,0,1.47,1.47,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,1.214,17,1
0.3,0,0,0,0,0,0,0.92,0.92,0.3,0.3,2.15,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0.1,0.351,3.884,303,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.201,0.1,4.548,141,1
0,0,0,1.26,0,1.26,1.26,1.26,1.26,0,0,0,0,1.26,3.79,0,0,0,0,0,0,0,0,0,0,0,0,72.5,290,1
0,0.53,0,0.53,0,0,0,0,0.53,0,0,0.53,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0.087,0,3.4,187,1
0,0.44,0,0.44,0,0,0,0,0.44,0,0,0.44,0.89,0,1.34,0,0,0,0,0,0,0,0,0,0,0.073,0,3.849,281,1
0,0.46,0,0.46,0.46,0,0,0,0.46,0,0,0.92,0.92,0,1.38,0,0,0,0,0,0.46,0,0,0,0,0,0.223,2.156,110,1
0,0,0,1.44,0,0,0,0,0.96,0,0,0.48,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0.081,0.243,5.13,236,1
0,0.94,0,0,0,0,0,0.94,0,0,0,2.83,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,26.5,318,1
0,0,0,0,0,0,0,0,0.59,0,0,0,0.59,0,1.18,0,0,0,0,0,0,0,0,0,0,0.165,0.082,2.325,100,1
0.75,0.18,0,0.18,0.12,0.25,0.75,0.31,1.51,0.31,0.37,0.37,0.12,0.69,1.26,0,0,0,0.12,0,0.12,0,0,0,0,0.085,0.234,3.675,1066,1
0,0.41,0,1.67,0.2,0,0,1.04,0,0.2,0,0.83,0,0,0.62,0,0,0,0,0,0,0,0,0.2,0,0,0,1.65,175,1
0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,1.666,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,4.071,114,1
0,0,0,0,0,0,0,0.95,0.47,0,0.23,0.23,0,0,1.9,0,0,0.23,0.23,0,0,0,0,0,0,0.123,0,5.038,519,1
0,0.72,0,0,0,1.45,0,0,0,0,0,2.91,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,1.525,61,1
0,0,0,1.28,1.28,0,0,0,0,0,0,1.28,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0.181,0,3.071,43,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,5.13,118,1
