@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S54

@attribute word_freq_order numeric
@attribute word_freq_receive numeric
@attribute word_freq_will numeric
@attribute word_freq_free numeric
@attribute word_freq_you numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_000 numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_george numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_telnet numeric
@attribute word_freq_857 numeric
@attribute word_freq_1999 numeric
@attribute word_freq_parts numeric
@attribute word_freq_direct numeric
@attribute word_freq_meeting numeric
@attribute word_freq_original numeric
@attribute word_freq_re numeric
@attribute word_freq_table numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute char_freq_[ numeric
@attribute char_freq_! numeric
@attribute char_freq_$ numeric
@attribute capital_run_length_longest numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0,0,0.64,0.32,1.93,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,61,278,1
0,0.21,0.79,0.14,3.47,1.59,0,0.43,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.132,0,0.372,0.18,101,1028,1
0.64,0.38,0.45,0.06,1.36,0.51,0,1.16,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0.06,0,0.01,0.143,0,0.276,0.184,485,2259,1
0.31,0.31,0.31,0.31,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0.137,0,40,191,1
0.31,0.31,0.31,0.31,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,0,40,191,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,15,54,1
0,0.96,1.28,0.96,3.85,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.164,0.054,4,112,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,11,49,1
0.92,0.76,0.92,0,1.23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.271,0,0.181,0.203,445,1257,1
0.06,0,0.64,0,1.67,0.71,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0,0.244,0.081,43,749,1
0,0.96,0,0,3.84,0.96,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0.462,0,6,21,1
0,0.12,0.12,0,1.16,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.044,0,0.663,0,11,184,1
0,0,0.69,0.34,2.09,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0.786,0,61,261,1
0,0.9,0,0,2.72,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,1
0,0,0.35,5.35,3.21,2.85,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0.357,0,24,205,1
0,0,0,1.27,1.7,1.27,0,0,0,0,0,0,0,0,0,1.27,0,0.42,0,0,0,0,0,0.063,0,0.572,0.063,55,249,1
0,0,0,0,1.88,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,31,107,1
0,0,0,0,0,2.11,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,0.37,95,461,1
0,0,0,0,3.15,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0.455,0,4,70,1
0.31,0,0.63,0.63,2.22,1.91,0,0.31,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0.275,0,0.055,0.496,91,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0.729,0,9,23,1
0.55,0.1,0.47,0,2.09,1.57,0,0.05,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.042,0.101,0.016,0.25,0.046,66,2259,1
0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.404,0,0.809,0,12,34,1
0,0,0.58,1.16,1.16,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0.667,0,5,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0.196,0,0.392,0.196,22,82,1
0.55,0.1,0.47,0,2.09,1.57,0,0.05,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.042,0.101,0.016,0.25,0.046,66,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0.196,0,0.392,0.196,22,82,1
0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,12,47,1
0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0.352,0,11,36,1
0,0.65,0.65,0.65,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0.091,0,66,129,1
0,0,1.17,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0.886,0,10,59,1
0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,2.112,0,11,43,1
0,0,0.81,0.27,3.51,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0.091,11,89,1
0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,5,17,1
0,1.36,0,0,2.04,0.68,0,0,0.68,0,0,0,0,1.36,0,1.36,0,0,0,0,0,0,0,0,0.185,0,0,30,264,1
0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,1.543,0,6,25,1
0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.436,0,0.873,0,12,29,1
0,0,0.97,0.48,2.43,2.43,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0.081,0,0.488,0.244,78,239,1
