@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S57

@attribute word_freq_make numeric
@attribute word_freq_3d numeric
@attribute word_freq_internet numeric
@attribute word_freq_order numeric
@attribute word_freq_mail numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_free numeric
@attribute word_freq_email numeric
@attribute word_freq_you numeric
@attribute word_freq_credit numeric
@attribute word_freq_your numeric
@attribute word_freq_000 numeric
@attribute word_freq_money numeric
@attribute word_freq_hp numeric
@attribute word_freq_hpl numeric
@attribute word_freq_labs numeric
@attribute word_freq_857 numeric
@attribute word_freq_1999 numeric
@attribute word_freq_pm numeric
@attribute word_freq_direct numeric
@attribute word_freq_cs numeric
@attribute word_freq_meeting numeric
@attribute word_freq_project numeric
@attribute word_freq_edu numeric
@attribute word_freq_table numeric
@attribute char_freq_! numeric
@attribute char_freq_# numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0,0,0,0,0,0,0,0.32,1.29,1.93,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,278,1
0.21,0,0.07,0,0.94,0.21,0.14,0.14,0.28,3.47,0,1.59,0.43,0.43,0,0,0,0,0.07,0,0,0,0,0,0,0,0.372,0.048,1028,1
0.06,0,0.12,0.64,0.25,0,1.75,0.06,1.03,1.36,0.32,0.51,1.16,0.06,0,0,0,0,0,0,0.06,0,0,0,0.06,0,0.276,0.01,2259,1
0,0,0.63,0.31,0.63,0,0,0.31,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,191,1
0,0,0.63,0.31,0.63,0,0,0.31,0,3.18,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,191,1
0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1
0,0,0,0,0.64,0,0,0.96,0.32,3.85,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0,112,1
0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1
0.15,0,0,0.92,0.76,0,0,0,0.15,1.23,3.53,2,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0.022,1257,1
0.06,0,0,0.06,0,0,0.12,0,0.12,1.67,0.06,0.71,0.19,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.244,0,749,1
0,0,0,0,1.92,0,0,0,0.96,3.84,0,0.96,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0.462,0,21,1
0,0,0,0,0,0,0,0,0,1.16,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0,184,1
0,0,0,0,0,0,0,0.34,1.39,2.09,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,261,1
0,0,0,0,0.9,0,0,0,0,2.72,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
0,0,0.35,0,0.71,0,0,5.35,0,3.21,0,2.85,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,205,1
0,0,0,0,1.27,0,0,1.27,0,1.7,0.42,1.27,0,0.42,0,0,0,0,1.27,0,0.42,0,0,0,0,0,0.572,0,249,1
0,0,0,0,0,0,0,0,0,1.88,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,107,1
0,0,0,0,0,0,0,0,0,0,0,2.11,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,0,461,1
0,0,0,0,0,0,0.18,0,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0,70,1
0,0,0,0.31,0,0,1.27,0.63,3.18,2.22,0,1.91,0.31,0.63,0,0,0,0,0,0,1.59,0,0,0,0,0,0.055,0,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,23,1
0.05,0,0.02,0.55,0,0,0,0,0.13,2.09,0.1,1.57,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.25,0.059,2259,1
0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809,0,34,1
0,0,0,0,0,0,0,1.16,1.16,1.16,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0,82,1
0.05,0,0.02,0.55,0,0,0,0,0.13,2.09,0.1,1.57,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.25,0.059,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0,82,1
0,0,0,0,0,0,0,0,0,3.33,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,47,1
0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,36,1
0,0,0,0,0,0,0,0.65,0,1.3,5.22,1.3,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,129,1
1.17,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886,0,59,1
0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.112,0,43,1
