@relation spambase-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S58

@attribute word_freq_make numeric
@attribute word_freq_address numeric
@attribute word_freq_all numeric
@attribute word_freq_our numeric
@attribute word_freq_over numeric
@attribute word_freq_mail numeric
@attribute word_freq_people numeric
@attribute word_freq_report numeric
@attribute word_freq_addresses numeric
@attribute word_freq_business numeric
@attribute word_freq_you numeric
@attribute word_freq_your numeric
@attribute word_freq_font numeric
@attribute word_freq_lab numeric
@attribute word_freq_labs numeric
@attribute word_freq_telnet numeric
@attribute word_freq_415 numeric
@attribute word_freq_1999 numeric
@attribute word_freq_pm numeric
@attribute word_freq_direct numeric
@attribute word_freq_cs numeric
@attribute word_freq_original numeric
@attribute word_freq_edu numeric
@attribute word_freq_table numeric
@attribute word_freq_conference numeric
@attribute char_freq_; numeric
@attribute char_freq_( numeric
@attribute capital_run_length_average numeric
@attribute capital_run_length_total numeric
@attribute class {0,1}

@data

0,0.64,0.64,0.32,0,0,0,0,0,0,1.93,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.756,278,1
0.21,0.28,0.5,0.14,0.28,0.94,0.65,0.21,0.14,0.07,3.47,1.59,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.132,5.114,1028,1
0.06,0,0.71,1.23,0.19,0.25,0.12,0,1.75,0.06,1.36,0.51,0,0,0,0,0,0,0,0.06,0,0.12,0.06,0,0,0.01,0.143,9.821,2259,1
0,0,0,0.63,0,0.63,0.31,0,0,0,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,3.537,191,1
0,0,0,0.63,0,0.63,0.31,0,0,0,3.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,3.537,191,1
0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,3,54,1
0,0,0,1.92,0,0.64,0,0,0,0,3.85,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,1.671,112,1
0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,2.45,49,1
0.15,0,0.46,0.61,0,0.76,0,0,0,0,1.23,2,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.271,9.744,1257,1
0.06,0.12,0.77,0.19,0.32,0,0.25,0,0.12,0,1.67,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,1.729,749,1
0,0,0,0,0,1.92,0,0,0,0,3.84,0.96,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,1.312,21,1
0,0,0.25,0.38,0.25,0,0.12,0,0,0,1.16,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.044,1.243,184,1
0,0.69,0.34,0.34,0,0,0,0,0,0,2.09,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,3.728,261,1
0,0,0,0.9,0,0.9,0.9,0,0,0,2.72,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,25,1
0,0,1.42,0.71,0.35,0.71,0,0,0,0,3.21,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,1.971,205,1
0,0.42,0.42,1.27,0,1.27,0,0,0,0,1.7,1.27,0,0,0,0,0,1.27,0,0.42,0,0,0,0,0,0,0.063,5.659,249,1
0,0,0,0.94,0,0,0,0,0,0,1.88,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.652,107,1
0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.461,461,1
0,0,0.55,1.11,0,0,0.92,0,0.18,0.37,3.15,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,1.32,70,1
0,0.63,0,1.59,0.31,0,0,0,1.27,0.31,2.22,1.91,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0.275,3.509,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,3.833,23,1
0.05,0.07,0.1,0.76,0.05,0,0.02,0,0,0.02,2.09,1.57,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.042,0.101,2.569,2259,1
0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.404,4.857,34,1
0,0,0,1.16,0,0,0,0,0,0,1.16,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,1.131,69,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,5.466,82,1
0.05,0.07,0.1,0.76,0.05,0,0.02,0,0,0.02,2.09,1.57,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.042,0.101,2.565,2258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,5.466,82,1
0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.611,47,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,4,36,1
0,0,0,0.65,0,0,0,0,0,1.3,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,2.687,129,1
1.17,0,0,0,0,0,0,0,0,1.17,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.966,59,1
0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,3.909,43,1
0,0,0,1.89,0.27,0,0,0,0,0,3.51,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,1.39,89,1
0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,17,1
0,0.68,0,0,0,0.68,0,0,0,0,2.04,0.68,0,0,0,1.36,0,1.36,0,0,0,0,0,0,0,0,0,3.826,264,1
0,0,2.56,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,2.777,25,1
0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.436,4.142,29,1
0,0,0.48,1.46,0,0,0,0,0,0.97,2.43,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,5.431,239,1
0,0.48,0.48,0.48,0,0,0,0,0,0,1.46,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,3.1,186,1
0,0.41,1.66,0.41,0,0,0,0,0,0,2.08,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,3.851,285,1
0.3,0,0,0.61,0.92,0,1.53,0,0,0,2.76,0.61,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.051,2.132,226,1
0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.335,4,28,1
0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.355,4,28,1
0,0,0.55,1.11,0,0,0.92,0,0.18,0.37,3.15,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,1.283,68,1
0,0,0,0.52,0,0.26,0,0,0,1.56,1.82,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,2.145,339,1
0.15,0.45,1.05,0.45,0,0.75,0.3,0,0.3,0,4.07,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,5.301,774,1
0.18,0,0.18,1.57,0.36,0.12,0.3,0.06,0,0.72,4.54,1.09,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.01,0.052,1.733,442,1
0.49,0,0.99,0,0.99,0.99,0.49,0,0,0.99,3.48,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,1.468,94,1
0.46,0.3,0.46,0.05,0.12,0.74,0.56,1.23,0,0.43,3.22,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,5.891,3040,1
0.46,0.46,0.26,0,0.33,1.12,0.79,0,0.26,0,3.51,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.084,3.887,898,1
0,1.92,0,1.92,0,0,0,0,0,0,1.92,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,33,1
0.73,0.36,1.09,0,0.73,0.36,0,0,0,0.36,2.19,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,3.254,179,1
0.06,0.12,0.77,0.19,0.32,0,0.25,0,0.12,0,1.67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,1.732,750,1
0,1.26,0,0,1.26,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,3.833,69,1
0.73,0.36,0.73,0,0.73,0.36,0,0,0,0.36,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,3.259,176,1
0,0,0,0,0,0,0,0,0,0,1.08,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,106,1
0,0,0,0,0,0,0,0,0,1.04,3.66,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.246,3.318,146,1
0,0,1.26,0,0,0,0,0,0,0,2.53,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.642,51,1
0,0.45,0.45,0.45,0,0,0,0,0,0,1.36,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777,200,1
0,0.42,1.68,0.42,0,0,0,0,0,0,2.1,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,3.837,284,1
0,0.59,0,0,0,0.59,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,8.586,249,1
0.23,0,0.47,0.23,0,0,0,0.23,0,0.23,7.1,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.043,1.294,66,1
0,0,0.46,1.39,0,0,0,0,0,0,0.93,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,1.442,75,1
0,0.34,0,0.68,0,0.34,0,0,0,0,3.42,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.411,96,1
0.12,0.24,0.12,1.32,0.36,0,0,0,0,0,4.1,3.01,0,0,0,0,0,0.12,0,0.12,0,0,0,0,0,0,0.059,1.714,180,1
0.66,0,0.66,0,0,0.66,0,0,0,1.32,1.32,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.184,121,1
0,0.48,0.48,1.46,0,0.97,0,0,0,0,0.97,1.95,0,0,0,0,0,1.46,0,0.48,0,0,0,0,0,0,0.073,4.85,194,1
0,0,0,0,0,1.47,0,0,0,0,5.88,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214,17,1
0.3,0,0.61,0,0,0.92,0.3,0.3,0,0.61,5.53,1.23,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.1,3.884,303,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0.201,4.548,141,1
0,0,0,1.26,0,1.26,0,0,0,5.06,2.53,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,290,1
0,0.53,0.53,0.53,0,0,0,0,0,0,1.6,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,3.4,187,1
