@relation vote_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A17-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Class {democrat,republican}

@data

-0.003319,-0.029515,0.013808,0.009004,0.013917,-0.068453,-0.031351,0.01142,0.046203,0.004654,0.019545,0.006718,-0.014811,0.025496,-0.006718,-0.024639,republican
0.00513,-0.002701,-0.083302,0.014351,0.038302,-0.062997,0.040239,-0.023018,-0.035056,0.033259,0.04446,0.018272,-0.034066,-0.029783,-0.04841,0.0173,republican
0.054191,0.084171,-0.002564,0.040417,0.009497,-0.011651,-0.013134,0.037147,-0.098365,0.027705,0.063643,0.056392,0.038709,0.014224,-0.048307,-0.031226,democrat
0.062862,0.031739,0.175009,0.15551,-0.194051,-0.026115,-0.091571,0.051553,-0.000356,-0.109143,-0.08571,-0.025845,-0.04948,0.088872,0.001236,-0.069343,democrat
0.051754,0.055422,0.184694,-0.002102,-0.172391,-0.104053,-0.009624,0.122987,-0.013294,-0.071617,-0.09766,-0.083055,0.059007,-0.001402,0.084437,-0.110718,democrat
-0.015366,0.028699,0.152248,0.028352,-0.13721,-0.069288,-0.010306,0.126814,-0.115873,-0.110097,-0.103318,-0.106547,-0.030456,0.033885,0.038716,-0.134262,democrat
-0.03114,-0.024341,-0.017521,-0.050718,-0.056261,-0.030084,-0.013696,0.137807,-0.075628,-0.032634,0.037723,-0.057845,-0.041429,0.031262,-0.043687,0.023227,democrat
0.020474,-0.009044,-0.018585,-0.029903,-0.043486,-0.01197,-0.024077,0.101823,-0.074426,-0.020681,0.014638,-0.037267,-0.070071,0.047622,-0.054932,-0.00989,republican
0.016982,-0.013505,-0.021663,0.01229,-0.02025,-0.078814,-0.006701,-0.003925,-0.022228,-0.011578,-0.008927,-0.01868,-0.041001,-0.008914,-0.017637,0.002461,republican
0.029557,0.023491,0.074294,0.006201,-0.046839,-0.011363,-0.049803,-0.023567,0.000433,-0.085352,-0.024136,-0.100542,-0.039037,-0.030163,0.015961,0.014501,democrat
0.036555,-0.042338,-0.085736,-0.032388,0.08455,-0.010544,0.038732,-0.073343,-0.080052,0.072317,0.155703,0.065857,0.00417,-0.038112,-0.146615,-0.036651,republican
0.024049,-0.00964,-0.044043,-0.033085,-0.010374,-0.03443,0.010633,0.061881,-0.016861,0.022946,0.054309,0.065983,0.005975,-0.001834,-0.089386,0.011227,republican
0.03596,0.00145,0.068038,0.03112,-0.047137,0.016343,-0.048311,-0.029322,-0.018243,-0.088355,-0.089752,-0.033368,-0.105331,-0.03811,-0.053409,-0.095403,democrat
