@relation 'vote-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.4 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.325el-salvador-aid=y+0.315aid-to-nicaraguan-contras=y-0.312physician-fee-freeze=y+0.303mx-missile=y+0.294adoption-of-the-budget-resolution=y... numeric
@attribute Class {democrat,republican}

@data

-3.490971,republican
-3.470795,republican
-2.046764,democrat
-0.92017,democrat
-0.635399,democrat
-1.16184,democrat
-2.397344,democrat
-2.889685,republican
-3.470795,republican
2.859144,democrat
-2.898668,republican
-2.73882,republican
1.942404,democrat
2.947709,democrat
-3.470795,republican
-3.490971,republican
0.847364,democrat
2.81032,democrat
-3.433133,republican
3.50235,democrat
2.361993,democrat
2.227175,democrat
3.351485,democrat
3.351485,democrat
3.448262,democrat
3.428086,democrat
3.599127,democrat
3.50235,democrat
-0.634941,republican
3.50235,democrat
-4.014243,republican
3.50235,democrat
2.790144,democrat
-3.470795,republican
3.351485,democrat
-4.014243,republican
-3.115395,republican
-2.514108,republican
-4.034419,republican
3.037787,democrat
2.859144,democrat
3.351485,democrat
2.955922,democrat
3.448262,democrat
3.010009,democrat
3.50235,democrat
2.859144,democrat
2.955922,democrat
1.670106,democrat
-4.014243,republican
3.50235,democrat
-2.83016,republican
2.859144,democrat
-3.658843,republican
0.705396,democrat
-3.883555,republican
-3.340106,republican
-3.490971,republican
-3.490971,republican
-3.490971,republican
2.796844,democrat
-4.014243,republican
2.859144,democrat
3.010009,democrat
3.010009,democrat
-2.512711,republican
-2.737422,republican
-4.034419,republican
2.81032,democrat
3.351485,democrat
2.907098,democrat
1.771675,republican
3.50235,democrat
-0.11415,republican
2.461341,democrat
-2.701952,democrat
-2.104602,democrat
-1.493087,democrat
-1.147915,democrat
-3.403177,republican
1.237025,democrat
1.922355,democrat
-3.394194,republican
-3.917466,republican
-4.034419,republican
-2.007824,democrat
-3.937642,republican
-3.917466,republican
-0.335091,democrat
-2.813083,republican
3.428086,democrat
3.578951,democrat
2.293136,democrat
2.938316,democrat
-0.057517,democrat
0.707906,democrat
-1.987648,democrat
-0.527958,democrat
2.304504,democrat
-3.937642,republican
-1.6714,democrat
0.09271,democrat
0.649779,democrat
-0.596203,democrat
0.804617,democrat
2.919842,democrat
-3.470795,republican
0.154679,republican
3.351485,democrat
3.351485,democrat
3.05251,democrat
-3.490971,republican
1.815376,democrat
-4.034419,republican
3.351485,democrat
1.771329,democrat
3.599127,democrat
-1.377754,republican
2.524089,democrat
-3.917466,republican
-2.890479,republican
-3.490971,republican
-2.853029,republican
-2.454584,republican
2.975908,democrat
-3.490971,republican
-4.014243,republican
2.523452,democrat
1.383733,democrat
