@relation 'vote-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.325el-salvador-aid=y+0.315aid-to-nicaraguan-contras=y-0.312physician-fee-freeze=y+0.303mx-missile=y+0.294adoption-of-the-budget-resolution=y... numeric
@attribute '-0.62water-project-cost-sharing=y-0.506synfuels-corporation-cutback=y+0.39 immigration=y+0.195anti-satellite-test-ban=y+0.167education-spending=y...' numeric
@attribute '0.664immigration=y+0.37 religious-groups-in-schools=y+0.359synfuels-corporation-cutback=y+0.334export-administration-act-south-africa=y+0.208adoption-of-the-budget-resolution=y...' numeric
@attribute 0.601synfuels-corporation-cutback=y-0.524water-project-cost-sharing=y-0.373export-administration-act-south-africa=y+0.307duty-free-exports=y-0.202handicapped-infants=y... numeric
@attribute 0.832handicapped-infants=y-0.318duty-free-exports=y-0.239water-project-cost-sharing=y+0.216immigration=y+0.188synfuels-corporation-cutback=y... numeric
@attribute 0.659export-administration-act-south-africa=y-0.54immigration=y-0.323water-project-cost-sharing=y+0.206crime=y+0.193religious-groups-in-schools=y... numeric
@attribute -0.512duty-free-exports=y-0.431export-administration-act-south-africa=y+0.328mx-missile=y+0.268religious-groups-in-schools=y-0.242immigration=y... numeric
@attribute 0.405religious-groups-in-schools=y-0.399synfuels-corporation-cutback=y-0.399education-spending=y+0.355adoption-of-the-budget-resolution=y+0.307duty-free-exports=y... numeric
@attribute -0.584duty-free-exports=y-0.556superfund-right-to-sue=y-0.32handicapped-infants=y-0.252education-spending=y-0.214anti-satellite-test-ban=y... numeric
@attribute 0.524superfund-right-to-sue=y-0.458anti-satellite-test-ban=y-0.442crime=y-0.276religious-groups-in-schools=y-0.233water-project-cost-sharing=y... numeric
@attribute '0.619education-spending=y+0.49 religious-groups-in-schools=y-0.431crime=y-0.276superfund-right-to-sue=y-0.159el-salvador-aid=y...' numeric
@attribute -0.632anti-satellite-test-ban=y+0.457mx-missile=y+0.422crime=y-0.274superfund-right-to-sue=y-0.188el-salvador-aid=y... numeric
@attribute -0.727adoption-of-the-budget-resolution=y-0.365education-spending=y+0.342religious-groups-in-schools=y-0.302crime=y+0.179mx-missile=y... numeric
@attribute Class {democrat,republican}

@data

-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,-0.300206,0.262799,0.271294,0.148184,0.299902,0.137371,republican
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,-0.241853,0.10371,0.251154,0.092804,0.313567,0.107781,republican
-2.046764,-2.55164,-0.057492,1.320143,-0.143412,-0.859708,1.784798,1.104906,0.718527,-0.037573,-0.85897,-0.333182,-0.798746,democrat
-0.92017,-2.657627,0.55335,0.280051,-0.481236,0.601897,0.140458,1.045152,1.357157,1.457912,-0.229149,-0.918797,0.200986,democrat
-0.635399,-2.814248,0.410036,0.472449,0.798826,0.749979,-0.691975,1.705747,-0.899368,0.205282,-0.875958,0.372865,-0.376565,democrat
-1.16184,-1.413216,0.073605,-0.384169,-1.274597,0.53671,-0.478346,2.408562,-0.278201,0.2132,-0.948283,0.352015,-0.558554,democrat
-2.397344,-0.89558,-0.601097,-0.417338,-1.333965,0.414763,-1.362804,1.199432,-0.570811,-0.431425,-1.238654,0.299124,0.739773,democrat
-2.889685,-0.816981,-0.531138,-1.042744,-0.685244,0.611031,-0.319143,0.574161,0.619506,-0.142246,-1.173086,0.065127,0.854786,republican
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,-0.241853,0.10371,0.251154,0.092804,0.313567,0.107781,republican
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,0.538781,-0.527684,0.927316,0.105198,0.242672,-0.009986,-0.111852,democrat
-2.898668,-0.689538,-2.261591,0.0039,-0.469315,-1.674677,0.351271,-0.11414,0.652173,-0.154937,-1.947264,-0.28863,-0.244455,republican
-2.73882,-1.880817,0.223189,0.220479,-0.290827,0.900726,-0.331397,-0.265335,0.644137,-0.09195,-1.401892,-0.108125,0.881727,republican
1.942404,-0.397188,-0.662609,-1.521008,-1.475147,-0.17775,1.219291,-0.679297,0.460083,1.21358,-0.611477,-0.753824,0.030827,democrat
2.947709,-1.149932,1.386358,0.315285,0.401702,-0.674107,-0.438611,0.049149,-0.33017,-0.691103,1.030407,0.112905,0.546761,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,-0.500643,-0.241853,0.10371,0.251154,0.092804,0.313567,0.107781,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,-0.983444,-0.300206,0.262799,0.271294,0.148184,0.299902,0.137371,republican
0.847364,-0.104006,1.436813,0.739027,1.362974,0.035714,0.951844,-0.509731,-0.398424,2.437729,1.689169,0.626808,0.431232,democrat
2.81032,-0.812983,-1.150465,-1.302207,-0.444862,-0.450443,-0.025744,0.082655,-1.376034,0.866187,-0.375914,-0.325725,0.070862,democrat
-3.433133,-0.970169,-1.486521,0.023751,-0.597197,-1.271349,0.912594,0.735272,0.401285,-0.732496,-0.920535,-0.212821,0.47264,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,-0.74191,-0.238371,-0.133684,-0.051702,0.05076,-0.199923,democrat
2.361993,-2.225895,-0.013947,0.488846,0.159045,0.546163,-0.611632,0.461428,-0.129079,-0.939019,1.174784,-0.787975,0.159936,democrat
2.227175,-0.553809,-0.805924,-1.32861,-0.195084,-0.029669,0.386858,-0.018702,-1.796443,-0.03905,-1.258286,0.537838,-0.546724,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,0.097587,-0.263002,-0.183981,0.177104,0.224012,-0.226864,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,-0.50488,0.097587,-0.263002,-0.183981,0.177104,0.224012,-0.226864,democrat
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,-0.204649,0.521224,-0.326604,0.283849,0.062035,-0.007421,0.00931,democrat
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,-0.68745,0.462871,-0.167515,0.303989,0.117415,-0.021086,0.0389,democrat
3.599127,-0.400514,-0.903351,1.396899,0.578264,0.65022,-0.216903,-0.318273,-0.301973,0.334146,-0.166771,-0.180673,0.036251,democrat
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,-0.517133,-0.74191,-0.238371,-0.133684,-0.051702,0.05076,-0.199923,democrat
