@relation 'vote-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.5 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.325el-salvador-aid=y+0.315aid-to-nicaraguan-contras=y-0.312physician-fee-freeze=y+0.303mx-missile=y+0.294adoption-of-the-budget-resolution=y... numeric
@attribute '-0.62water-project-cost-sharing=y-0.506synfuels-corporation-cutback=y+0.39 immigration=y+0.195anti-satellite-test-ban=y+0.167education-spending=y...' numeric
@attribute Class {democrat,republican}

@data

-3.490971,0.304203,republican
-3.470795,-0.474632,republican
-2.046764,-2.55164,democrat
-0.92017,-2.657627,democrat
-0.635399,-2.814248,democrat
-1.16184,-1.413216,democrat
-2.397344,-0.89558,democrat
-2.889685,-0.816981,republican
-3.470795,-0.474632,republican
2.859144,-0.505702,democrat
-2.898668,-0.689538,republican
-2.73882,-1.880817,republican
1.942404,-0.397188,democrat
2.947709,-1.149932,democrat
-3.470795,-0.474632,republican
-3.490971,0.304203,republican
0.847364,-0.104006,democrat
2.81032,-0.812983,democrat
-3.433133,-0.970169,republican
3.50235,-1.648136,democrat
2.361993,-2.225895,democrat
2.227175,-0.553809,democrat
3.351485,-0.584301,democrat
3.351485,-0.584301,democrat
3.448262,0.663322,democrat
3.428086,1.442157,democrat
3.599127,-0.400514,democrat
3.50235,-1.648136,democrat
-0.634941,1.512798,republican
3.50235,-1.648136,democrat
-4.014243,-0.62782,republican
3.50235,-1.648136,democrat
2.790144,-0.034148,democrat
-3.470795,-0.474632,republican
3.351485,-0.584301,democrat
-4.014243,-0.62782,republican
-3.115395,-0.032994,republican
-2.514108,-1.154178,republican
-4.034419,0.151015,republican
3.037787,0.149639,democrat
2.859144,-0.505702,democrat
3.351485,-0.584301,democrat
2.955922,0.74192,democrat
3.448262,0.663322,democrat
3.010009,-1.569538,democrat
3.50235,-1.648136,democrat
2.859144,-0.505702,democrat
2.955922,0.74192,democrat
1.670106,-0.543656,democrat
-4.014243,-0.62782,republican
3.50235,-1.648136,democrat
-2.83016,-0.369348,republican
2.859144,-0.505702,democrat
-3.658843,-0.186181,republican
0.705396,-1.545773,democrat
-3.883555,-0.91282,republican
-3.340106,-0.759633,republican
-3.490971,0.304203,republican
-3.490971,0.304203,republican
-3.490971,0.304203,republican
2.796844,-0.086097,democrat
-4.014243,-0.62782,republican
2.859144,-0.505702,democrat
3.010009,-1.569538,democrat
3.010009,-1.569538,democrat
-2.512711,-0.417867,republican
-2.737422,-1.144506,republican
-4.034419,0.151015,republican
2.81032,-0.812983,democrat
3.351485,-0.584301,democrat
2.907098,0.434639,democrat
1.771675,-0.219603,republican
3.50235,-1.648136,democrat
-0.11415,1.63829,republican
2.461341,0.356864,democrat
-2.701952,-1.46088,democrat
-2.104602,-1.277269,democrat
-1.493087,-0.562931,democrat
