@relation 'vote-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.6 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.325el-salvador-aid=y+0.315aid-to-nicaraguan-contras=y-0.312physician-fee-freeze=y+0.303mx-missile=y+0.294adoption-of-the-budget-resolution=y... numeric
@attribute '-0.62water-project-cost-sharing=y-0.506synfuels-corporation-cutback=y+0.39 immigration=y+0.195anti-satellite-test-ban=y+0.167education-spending=y...' numeric
@attribute '0.664immigration=y+0.37 religious-groups-in-schools=y+0.359synfuels-corporation-cutback=y+0.334export-administration-act-south-africa=y+0.208adoption-of-the-budget-resolution=y...' numeric
@attribute Class {democrat,republican}

@data

-3.490971,0.304203,0.737807,republican
-3.470795,-0.474632,-0.589088,republican
-2.046764,-2.55164,-0.057492,democrat
-0.92017,-2.657627,0.55335,democrat
-0.635399,-2.814248,0.410036,democrat
-1.16184,-1.413216,0.073605,democrat
-2.397344,-0.89558,-0.601097,democrat
-2.889685,-0.816981,-0.531138,republican
-3.470795,-0.474632,-0.589088,republican
2.859144,-0.505702,-1.399976,democrat
-2.898668,-0.689538,-2.261591,republican
-2.73882,-1.880817,0.223189,republican
1.942404,-0.397188,-0.662609,democrat
2.947709,-1.149932,1.386358,democrat
-3.470795,-0.474632,-0.589088,republican
-3.490971,0.304203,0.737807,republican
0.847364,-0.104006,1.436813,democrat
2.81032,-0.812983,-1.150465,democrat
-3.433133,-0.970169,-1.486521,republican
3.50235,-1.648136,-0.715608,democrat
2.361993,-2.225895,-0.013947,democrat
2.227175,-0.553809,-0.805924,democrat
3.351485,-0.584301,-1.469935,democrat
3.351485,-0.584301,-1.469935,democrat
3.448262,0.663322,-1.657678,democrat
3.428086,1.442157,-0.330783,democrat
3.599127,-0.400514,-0.903351,democrat
3.50235,-1.648136,-0.715608,democrat
-0.634941,1.512798,-1.588032,republican
3.50235,-1.648136,-0.715608,democrat
-4.014243,-0.62782,-1.544472,republican
3.50235,-1.648136,-0.715608,democrat
2.790144,-0.034148,0.176431,democrat
-3.470795,-0.474632,-0.589088,republican
3.351485,-0.584301,-1.469935,democrat
