@relation 'vote-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.75 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.325el-salvador-aid=y+0.315aid-to-nicaraguan-contras=y-0.312physician-fee-freeze=y+0.303mx-missile=y+0.294adoption-of-the-budget-resolution=y... numeric
@attribute '-0.62water-project-cost-sharing=y-0.506synfuels-corporation-cutback=y+0.39 immigration=y+0.195anti-satellite-test-ban=y+0.167education-spending=y...' numeric
@attribute '0.664immigration=y+0.37 religious-groups-in-schools=y+0.359synfuels-corporation-cutback=y+0.334export-administration-act-south-africa=y+0.208adoption-of-the-budget-resolution=y...' numeric
@attribute 0.601synfuels-corporation-cutback=y-0.524water-project-cost-sharing=y-0.373export-administration-act-south-africa=y+0.307duty-free-exports=y-0.202handicapped-infants=y... numeric
@attribute 0.832handicapped-infants=y-0.318duty-free-exports=y-0.239water-project-cost-sharing=y+0.216immigration=y+0.188synfuels-corporation-cutback=y... numeric
@attribute 0.659export-administration-act-south-africa=y-0.54immigration=y-0.323water-project-cost-sharing=y+0.206crime=y+0.193religious-groups-in-schools=y... numeric
@attribute Class {democrat,republican}

@data

-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,republican
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,republican
-2.046764,-2.55164,-0.057492,1.320143,-0.143412,-0.859708,democrat
-0.92017,-2.657627,0.55335,0.280051,-0.481236,0.601897,democrat
-0.635399,-2.814248,0.410036,0.472449,0.798826,0.749979,democrat
-1.16184,-1.413216,0.073605,-0.384169,-1.274597,0.53671,democrat
-2.397344,-0.89558,-0.601097,-0.417338,-1.333965,0.414763,democrat
-2.889685,-0.816981,-0.531138,-1.042744,-0.685244,0.611031,republican
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,republican
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,democrat
-2.898668,-0.689538,-2.261591,0.0039,-0.469315,-1.674677,republican
-2.73882,-1.880817,0.223189,0.220479,-0.290827,0.900726,republican
1.942404,-0.397188,-0.662609,-1.521008,-1.475147,-0.17775,democrat
2.947709,-1.149932,1.386358,0.315285,0.401702,-0.674107,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,republican
0.847364,-0.104006,1.436813,0.739027,1.362974,0.035714,democrat
2.81032,-0.812983,-1.150465,-1.302207,-0.444862,-0.450443,democrat
-3.433133,-0.970169,-1.486521,0.023751,-0.597197,-1.271349,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,democrat
2.361993,-2.225895,-0.013947,0.488846,0.159045,0.546163,democrat
2.227175,-0.553809,-0.805924,-1.32861,-0.195084,-0.029669,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,democrat
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,democrat
3.428086,1.442157,-0.330783,0.08645,0.615557,-0.718351,democrat
3.599127,-0.400514,-0.903351,1.396899,0.578264,0.65022,democrat
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,democrat
-0.634941,1.512798,-1.588032,-0.920913,1.100549,1.190975,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,democrat
2.790144,-0.034148,0.176431,-1.349434,-0.013151,-1.52932,democrat
-3.470795,-0.474632,-0.589088,-0.9168,-0.75254,0.89836,republican
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,republican
-3.115395,-0.032994,0.319911,-1.370631,1.358177,-0.256942,republican
-2.514108,-1.154178,-0.949034,-1.449349,0.993762,0.534605,republican
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,republican
3.037787,0.149639,0.743015,0.968027,0.861656,-0.590847,democrat
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,democrat
2.955922,0.74192,-1.587719,-0.491729,0.832567,0.556793,democrat
3.448262,0.663322,-1.657678,0.133676,0.183846,0.360526,democrat
3.010009,-1.569538,-0.645649,-0.282745,0.746595,0.19771,democrat
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,democrat
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,democrat
2.955922,0.74192,-1.587719,-0.491729,0.832567,0.556793,democrat
1.670106,-0.543656,-1.128844,-1.446036,0.791008,0.470184,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,democrat
-2.83016,-0.369348,-0.374013,-1.171751,-0.9499,0.902981,republican
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,democrat
-3.658843,-0.186181,-0.635472,-0.304137,1.446224,-2.139323,republican
0.705396,-1.545773,0.342603,-0.037019,0.990247,1.450535,democrat
-3.883555,-0.91282,0.536752,1.365691,0.161635,-1.773202,republican
-3.340106,-0.759633,1.492135,0.299196,0.073588,0.109178,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,republican
-3.490971,0.304203,0.737807,-0.964026,-0.320829,-0.180516,republican
2.796844,-0.086097,0.63203,-0.947937,0.007285,-0.963802,democrat
-4.014243,-0.62782,-1.544472,0.149695,-0.664492,-0.98402,republican
2.859144,-0.505702,-1.399976,-1.545967,0.352178,-0.091985,democrat
3.010009,-1.569538,-0.645649,-0.282745,0.746595,0.19771,democrat
3.010009,-1.569538,-0.645649,-0.282745,0.746595,0.19771,democrat
-2.512711,-0.417867,-0.913704,-1.574015,0.878691,1.082298,republican
-2.737422,-1.144506,0.258519,0.095812,-0.405898,1.448418,republican
-4.034419,0.151015,-0.217576,0.102468,-0.232782,-2.062897,republican
2.81032,-0.812983,-1.150465,-1.302207,-0.444862,-0.450443,democrat
3.351485,-0.584301,-1.469935,-0.920562,-0.296543,-0.288252,democrat
2.907098,0.434639,-1.338208,-0.247969,0.035528,0.198335,democrat
1.771675,-0.219603,0.777378,-0.521559,1.426082,-0.481112,republican
3.50235,-1.648136,-0.715608,0.34266,0.097874,0.001442,democrat
-0.11415,1.63829,0.00803,-0.971148,1.854283,-0.078625,republican
2.461341,0.356864,1.543156,1.34312,1.131869,0.395446,democrat
-2.701952,-1.46088,1.020994,1.107732,0.286298,-1.959305,democrat
-2.104602,-1.277269,2.166836,0.332365,0.132956,0.231125,democrat
-1.493087,-0.562931,2.206911,-0.214104,-0.255458,0.073631,democrat
-1.147915,-1.956814,1.806891,-0.200183,1.879257,-0.13263,democrat
-3.403177,1.679269,-1.180389,1.136855,0.37549,-1.817446,republican
1.237025,1.841647,0.800837,-0.419564,1.318877,0.589349,democrat
1.922355,1.058443,0.780094,0.823807,1.841177,0.475715,democrat
-3.394194,1.551825,0.550064,0.090212,0.15956,0.468262,republican
-3.917466,0.619803,-1.732215,1.203933,-0.184103,-0.335242,republican
