@relation breastcancerdiagnostic-weka.filters.unsupervised.attribute.RandomProjection-N5-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute class {M,B}

@data
1946.608704,349.517234,3497.327702,-1716.496524,-29.848776,M
2526.861358,309.470723,3382.756542,-2266.900095,-40.448626,M
2308.911143,297.025288,2949.579312,-2047.611274,-44.059129,M
803.153259,189.26864,957.799086,-634.307369,-45.832507,M
2480.561466,297.569239,2733.520627,-2222.750986,-28.849714,M
969.320878,199.25076,1265.278496,-799.998692,-41.157875,M
2008.434751,295.691339,2765.402729,-1767.72281,-47.831127,M
1157.084409,213.03701,1528.441723,-966.834415,-48.772135,M
1051.85007,204.857064,1250.310978,-863.571261,-53.174013,M
969.727787,188.218062,1183.840688,-783.725555,-70.410375,M
1559.616089,240.161502,1960.93597,-1343.443558,-58.720643,M
1532.137886,262.179476,2230.058058,-1322.610486,-47.188635,M
2174.667695,290.078689,2287.478625,-1907.943408,-51.736598,M
1535.342887,219.734095,1497.628972,-1315.896347,-47.927524,M
1163.758354,210.412648,1177.351716,-963.410238,-55.357606,M
1308.577249,238.507583,1594.876696,-1094.170322,-64.314869,M
1349.58972,237.078469,1942.976422,-1152.632909,-53.470518,M
1570.76171,263.134745,2250.972086,-1349.074958,-54.487939,M
2407.546715,356.200291,4133.776162,-2145.310232,-53.345249,M
1132.269225,194.852827,1222.185141,-957.182857,-33.400282,B
1048.874123,187.862313,1079.594751,-874.509768,-35.597917,B
578.813424,127.653835,534.834011,-454.509358,-27.262022,B
1397.707028,242.235843,1692.848643,-1195.833339,-32.885564,M
2669.400207,360.383426,4503.880432,-2393.473778,-61.546569,M
1757.268321,333.940397,3810.184592,-1530.871444,-54.623769,M
1781.854247,292.10576,2522.316257,-1553.657161,-36.905723,M
1285.51275,235.660429,1521.884334,-1080.245985,-57.325429,M
2106.395485,271.498583,2414.202217,-1862.750859,-47.207997,M
1445.884981,283.466678,2161.099521,-1225.66897,-63.526311,M
1853.490046,262.782465,2121.464933,-1629.281305,-33.784564,M
2100.724019,307.882333,2865.225182,-1842.942329,-58.856036,M
898.04834,225.671915,1511.299702,-731.697433,-48.730645,M
1753.072029,262.945245,2301.553235,-1518.051254,-55.558938,M
2234.138466,312.006376,3119.969741,-1966.865472,-53.481252,M
1583.40755,256.69652,2165.255299,-1367.456555,-47.150554,M
1696.672797,258.747634,2107.742085,-1469.744322,-50.230817,M
1258.535289,224.326522,1357.388819,-1059.921789,-52.59507,M
1050.292594,164.840455,928.702953,-879.429901,-39.596815,B
1375.781925,187.716208,1190.908477,-1170.529847,-43.771978,M
1121.577406,208.273648,1261.169447,-932.931547,-44.965021,M
1124.312094,199.431274,1335.874566,-938.955412,-52.3971,M
767.148467,167.651527,848.374957,-607.973251,-61.308647,M
2134.634872,337.764419,2834.610214,-1871.08483,-57.247653,M
1095.474837,217.55163,1546.041368,-910.146125,-48.512789,M
1068.417654,204.536858,1254.522754,-883.304637,-51.758788,M
2077.97446,292.177008,2709.390458,-1833.660408,-36.817154,M
439.138628,111.787612,396.000323,-322.113235,-38.231606,B
1074.785698,199.420089,1290.21561,-894.57329,-48.369826,M
913.242976,175.359021,994.269494,-753.929847,-36.008311,B
1122.142813,192.56287,1178.916918,-935.237808,-55.100788,B
870.46681,162.045988,870.235309,-705.823106,-44.682073,B
1141.329418,188.488068,1121.127649,-963.502469,-40.213919,B
888.973986,164.554873,897.084851,-727.403056,-37.046229,B
1997.637951,262.905704,2277.017385,-1759.360867,-41.793345,M
1402.93707,228.625692,1755.468793,-1197.658487,-54.872366,M
835.354037,160.043989,857.940624,-677.597173,-39.040543,B
2212.663674,325.930337,3699.419857,-1964.751037,-48.670209,M
1303.267737,223.985223,1679.405972,-1101.772657,-53.099584,M
1056.104383,176.829875,1064.817089,-881.81378,-38.708705,B
482.766414,117.742857,464.78915,-369.340403,-26.914719,B
651.930776,136.165467,625.645486,-517.025965,-30.413468,B
478.70569,118.930489,442.490919,-351.39556,-47.091084,B
1285.420596,229.030736,1634.960267,-1081.3475,-51.103998,M
554.459286,125.728248,519.611865,-431.69139,-33.404727,B
1007.408365,213.676164,1502.678731,-824.481853,-58.0086,M
1326.186864,221.965694,1570.253308,-1117.872693,-57.850675,M
570.573372,129.088378,534.758978,-433.588384,-54.836988,B
806.867281,153.124079,786.713637,-651.204234,-41.411035,B
