agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,0,0,-287.0,-0.7396907216494846,388.0,388.0
Q-Learning,0,1,-307.0,-0.1652892561983471,509.0,121.0
Q-Learning,0,2,-657.0,-0.7760532150776053,960.0,451.0
Q-Learning,0,3,-768.0,-0.5235849056603774,1172.0,212.0
Q-Learning,0,4,-976.0,-0.6731391585760518,1481.0,309.0
Q-Learning,0,5,-1196.0,-0.6853582554517134,1802.0,321.0
Q-Learning,0,6,-1422.0,-0.691131498470948,2129.0,327.0
Q-Learning,0,7,-1721.0,-0.7475,2529.0,400.0
Q-Learning,0,8,-1992.0,-0.728494623655914,2901.0,372.0
Q-Learning,0,9,-2083.0,-0.4739583333333333,3093.0,192.0
Q-Learning,0,10,-2133.0,-0.33112582781456956,3244.0,151.0
Q-Learning,0,11,-2238.0,-0.5097087378640777,3450.0,206.0
Q-Learning,0,12,-2215.0,0.2948717948717949,3528.0,78.0
Q-Learning,0,13,-2290.0,-0.42613636363636365,3704.0,176.0
Q-Learning,0,14,-2343.0,-0.34415584415584416,3858.0,154.0
Q-Learning,0,15,-2342.0,0.01,3958.0,100.0
Q-Learning,0,16,-2370.0,-0.21705426356589147,4087.0,129.0
Q-Learning,0,17,-2418.0,-0.3221476510067114,4236.0,149.0
Q-Learning,0,18,-2600.0,-0.6431095406360424,4519.0,283.0
Q-Learning,0,19,-2552.0,0.9056603773584906,4572.0,53.0
Q-Learning,0,20,-2521.0,0.44285714285714284,4642.0,70.0
Q-Learning,0,21,-2485.0,0.5538461538461539,4707.0,65.0
Q-Learning,0,22,-2551.0,-0.39520958083832336,4874.0,167.0
Q-Learning,0,23,-2540.0,0.12222222222222222,4964.0,90.0
Q-Learning,0,24,-2474.0,1.8857142857142857,4999.0,35.0
Q-Learning,0,25,-2403.0,2.3666666666666667,5029.0,30.0
Q-Learning,0,26,-2330.0,2.607142857142857,5057.0,28.0
Q-Learning,0,27,-2408.0,-0.43575418994413406,5236.0,179.0
Q-Learning,0,28,-2337.0,2.3666666666666667,5266.0,30.0
Q-Learning,0,29,-2277.0,1.4634146341463414,5307.0,41.0
Q-Learning,0,30,-2235.0,0.711864406779661,5366.0,59.0
Q-Learning,0,31,-2162.0,2.607142857142857,5394.0,28.0
Q-Learning,0,32,-2219.0,-0.36075949367088606,5552.0,158.0
Q-Learning,0,33,-2171.0,0.9056603773584906,5605.0,53.0
Q-Learning,0,34,-2117.0,1.148936170212766,5652.0,47.0
Q-Learning,0,35,-2055.0,1.5897435897435896,5691.0,39.0
Q-Learning,0,36,-1977.0,3.391304347826087,5714.0,23.0
Q-Learning,0,37,-1915.0,1.5897435897435896,5753.0,39.0
Q-Learning,0,38,-1860.0,1.1956521739130435,5799.0,46.0
Q-Learning,0,39,-1784.0,3.04,5824.0,25.0
Q-Learning,0,40,-2013.0,-0.693939393939394,6154.0,330.0
Q-Learning,0,41,-1950.0,1.6578947368421053,6192.0,38.0
Q-Learning,0,42,-1943.0,0.07446808510638298,6286.0,94.0
Q-Learning,0,43,-1958.0,-0.12931034482758622,6402.0,116.0
Q-Learning,0,44,-1887.0,2.3666666666666667,6432.0,30.0
Q-Learning,0,45,-2123.0,-0.7002967359050445,6769.0,337.0
Q-Learning,0,46,-2115.0,0.08602150537634409,6862.0,93.0
Q-Learning,0,47,-2047.0,2.0606060606060606,6895.0,33.0
Q-Learning,0,48,-2011.0,0.5538461538461539,6960.0,65.0
Q-Learning,0,49,-1982.0,0.4027777777777778,7032.0,72.0
Q-Learning,0,50,-1919.0,1.6578947368421053,7070.0,38.0
Q-Learning,0,51,-1857.0,1.5897435897435896,7109.0,39.0
Q-Learning,0,52,-1782.0,2.8846153846153846,7135.0,26.0
Q-Learning,0,53,-1736.0,0.8363636363636363,7190.0,55.0
Q-Learning,0,54,-1682.0,1.148936170212766,7237.0,47.0
Q-Learning,0,55,-1724.0,-0.2937062937062937,7380.0,143.0
Q-Learning,0,56,-1687.0,0.578125,7444.0,64.0
Q-Learning,0,57,-1613.0,2.740740740740741,7471.0,27.0
Q-Learning,0,58,-1562.0,1.02,7521.0,50.0
Q-Learning,0,59,-1491.0,2.3666666666666667,7551.0,30.0
Q-Learning,0,60,-1454.0,0.578125,7615.0,64.0
Q-Learning,0,61,-1411.0,0.7413793103448276,7673.0,58.0
Q-Learning,0,62,-1369.0,0.711864406779661,7732.0,59.0
Q-Learning,0,63,-1322.0,0.8703703703703703,7786.0,54.0
Q-Learning,0,64,-1271.0,1.02,7836.0,50.0
Q-Learning,0,65,-1287.0,-0.13675213675213677,7953.0,117.0
Q-Learning,0,66,-1395.0,-0.5167464114832536,8162.0,209.0
Q-Learning,0,67,-1325.0,2.2580645161290325,8193.0,31.0
Q-Learning,0,68,-1407.0,-0.44808743169398907,8376.0,183.0
Q-Learning,0,69,-1475.0,-0.40236686390532544,8545.0,169.0
Q-Learning,0,70,-1458.0,0.20238095238095238,8629.0,84.0
Q-Learning,0,71,-1380.0,3.391304347826087,8652.0,23.0
Q-Learning,0,72,-1314.0,1.8857142857142857,8687.0,35.0
Q-Learning,0,73,-1343.0,-0.2230769230769231,8817.0,130.0
Q-Learning,0,74,-1471.0,-0.5589519650655022,9046.0,229.0
Q-Learning,0,75,-1440.0,0.44285714285714284,9116.0,70.0
Q-Learning,0,76,-1375.0,1.8055555555555556,9152.0,36.0
Q-Learning,0,77,-1324.0,1.02,9202.0,50.0
Q-Learning,0,78,-1271.0,1.1041666666666667,9250.0,48.0
Q-Learning,0,79,-1279.0,-0.07339449541284404,9359.0,109.0
Q-Learning,0,80,-1236.0,0.7413793103448276,9417.0,58.0
Q-Learning,0,81,-1215.0,0.2625,9497.0,80.0
Q-Learning,0,82,-1188.0,0.36486486486486486,9571.0,74.0
Q-Learning,0,83,-1149.0,0.6290322580645161,9633.0,62.0
Q-Learning,0,84,-1190.0,-0.2887323943661972,9775.0,142.0
Q-Learning,0,85,-1116.0,2.740740740740741,9802.0,27.0
Q-Learning,0,86,-1076.0,0.6557377049180327,9863.0,61.0
Q-Learning,0,87,-1001.0,2.8846153846153846,9889.0,26.0
Q-Learning,0,88,-984.0,0.20238095238095238,9973.0,84.0
Q-Learning,0,89,-947.0,0.578125,10037.0,64.0
Q-Learning,0,90,-908.0,0.6290322580645161,10099.0,62.0
Q-Learning,0,91,-870.0,0.6031746031746031,10162.0,63.0
Q-Learning,0,92,-917.0,-0.31756756756756754,10310.0,148.0
Q-Learning,0,93,-921.0,-0.0380952380952381,10415.0,105.0
Q-Learning,0,94,-889.0,0.463768115942029,10484.0,69.0
Q-Learning,0,95,-836.0,1.1041666666666667,10532.0,48.0
Q-Learning,0,96,-797.0,0.6290322580645161,10594.0,62.0
Q-Learning,0,97,-725.0,2.4827586206896552,10623.0,29.0
Q-Learning,0,98,-663.0,1.5897435897435896,10662.0,39.0
Q-Learning,0,99,-599.0,1.7297297297297298,10699.0,37.0
Q-Learning,1,0,-171.0,-0.6286764705882353,272.0,272.0
Q-Learning,1,1,-481.0,-0.754257907542579,683.0,411.0
Q-Learning,1,2,-922.0,-0.8136531365313653,1225.0,542.0
Q-Learning,1,3,-1036.0,-0.5302325581395348,1440.0,215.0
Q-Learning,1,4,-1884.0,-0.8935721812434141,2389.0,949.0
Q-Learning,1,5,-1889.0,-0.04716981132075472,2495.0,106.0
Q-Learning,1,6,-2038.0,-0.596,2745.0,250.0
Q-Learning,1,7,-2028.0,0.10989010989010989,2836.0,91.0
Q-Learning,1,8,-2190.0,-0.6159695817490495,3099.0,263.0
Q-Learning,1,9,-2151.0,0.6290322580645161,3161.0,62.0
Q-Learning,1,10,-2546.0,-0.7963709677419355,3657.0,496.0
Q-Learning,1,11,-2636.0,-0.4712041884816754,3848.0,191.0
Q-Learning,1,12,-2581.0,1.1956521739130435,3894.0,46.0
Q-Learning,1,13,-2562.0,0.23170731707317074,3976.0,82.0
Q-Learning,1,14,-2532.0,0.4225352112676056,4047.0,71.0
Q-Learning,1,15,-2497.0,0.5303030303030303,4113.0,66.0
Q-Learning,1,16,-2450.0,0.8703703703703703,4167.0,54.0
Q-Learning,1,17,-2386.0,1.7297297297297298,4204.0,37.0
Q-Learning,1,18,-2424.0,-0.2733812949640288,4343.0,139.0
Q-Learning,1,19,-2402.0,0.27848101265822783,4422.0,79.0
Q-Learning,1,20,-2465.0,-0.38414634146341464,4586.0,164.0
Q-Learning,1,21,-2452.0,0.14772727272727273,4674.0,88.0
Q-Learning,1,22,-2460.0,-0.07339449541284404,4783.0,109.0
Q-Learning,1,23,-2410.0,0.9803921568627451,4834.0,51.0
Q-Learning,1,24,-2339.0,2.3666666666666667,4864.0,30.0
Q-Learning,1,25,-2282.0,1.2954545454545454,4908.0,44.0
Q-Learning,1,26,-2209.0,2.607142857142857,4936.0,28.0
Q-Learning,1,27,-2387.0,-0.6379928315412187,5215.0,279.0
Q-Learning,1,28,-2384.0,0.030612244897959183,5313.0,98.0
Q-Learning,1,29,-2341.0,0.7413793103448276,5371.0,58.0
Q-Learning,1,30,-2290.0,1.02,5421.0,50.0
Q-Learning,1,31,-2242.0,0.9056603773584906,5474.0,53.0
Q-Learning,1,32,-2481.0,-0.7029411764705882,5814.0,340.0
Q-Learning,1,33,-2464.0,0.20238095238095238,5898.0,84.0
Q-Learning,1,34,-2477.0,-0.11403508771929824,6012.0,114.0
Q-Learning,1,35,-2582.0,-0.5097087378640777,6218.0,206.0
Q-Learning,1,36,-2587.0,-0.04716981132075472,6324.0,106.0
Q-Learning,1,37,-2989.0,-0.7992047713717694,6827.0,503.0
Q-Learning,1,38,-3215.0,-0.691131498470948,7154.0,327.0
Q-Learning,1,39,-3736.0,-0.837620578778135,7776.0,622.0
Q-Learning,1,40,-3768.0,-0.24060150375939848,7909.0,133.0
Q-Learning,1,41,-3886.0,-0.5388127853881278,8128.0,219.0
Q-Learning,1,42,-3875.0,0.12222222222222222,8218.0,90.0
Q-Learning,1,43,-3812.0,1.6578947368421053,8256.0,38.0
Q-Learning,1,44,-3818.0,-0.056074766355140186,8363.0,107.0
Q-Learning,1,45,-3764.0,1.148936170212766,8410.0,47.0
Q-Learning,1,46,-3760.0,0.041237113402061855,8507.0,97.0
Q-Learning,1,47,-3708.0,1.0612244897959184,8556.0,49.0
Q-Learning,1,48,-3643.0,1.8055555555555556,8592.0,36.0
Q-Learning,1,49,-3586.0,1.2954545454545454,8636.0,44.0
Q-Learning,1,50,-3511.0,2.8846153846153846,8662.0,26.0
Q-Learning,1,51,-3439.0,2.4827586206896552,8691.0,29.0
Q-Learning,1,52,-3384.0,1.1956521739130435,8737.0,46.0
Q-Learning,1,53,-3337.0,0.8703703703703703,8791.0,54.0
Q-Learning,1,54,-3306.0,0.44285714285714284,8861.0,70.0
Q-Learning,1,55,-3311.0,-0.04716981132075472,8967.0,106.0
Q-Learning,1,56,-3242.0,2.15625,8999.0,32.0
Q-Learning,1,57,-3255.0,-0.11403508771929824,9113.0,114.0
Q-Learning,1,58,-3264.0,-0.08181818181818182,9223.0,110.0
Q-Learning,1,59,-3219.0,0.8035714285714286,9279.0,56.0
Q-Learning,1,60,-3163.0,1.2444444444444445,9324.0,45.0
Q-Learning,1,61,-3108.0,1.1956521739130435,9370.0,46.0
Q-Learning,1,62,-3079.0,0.4027777777777778,9442.0,72.0
Q-Learning,1,63,-3089.0,-0.09009009009009009,9553.0,111.0
Q-Learning,1,64,-3149.0,-0.37267080745341613,9714.0,161.0
Q-Learning,1,65,-3090.0,1.4047619047619047,9756.0,42.0
Q-Learning,1,66,-3039.0,1.02,9806.0,50.0
Q-Learning,1,67,-3000.0,0.6290322580645161,9868.0,62.0
Q-Learning,1,68,-2983.0,0.20238095238095238,9952.0,84.0
Q-Learning,1,69,-2919.0,1.7297297297297298,9989.0,37.0
Q-Learning,1,70,-3030.0,-0.5235849056603774,10201.0,212.0
