@relation 'chess_king_rook_king_pawn-weka.filters.unsupervised.instance.Randomize-S250-weka.filters.unsupervised.instance.RemovePercentage-P34.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Remove-V-R6,4,10,18,23,32'

@attribute '0.346bxqsq=t-0.326rkxwp=t+0.29 wknck=t+0.284katri=n+0.269rxmsq=t...' numeric
@attribute '-0.326katri=b-0.307 hdchk=t-0.295bkon8=t-0.291bkblk=t+0.288rkxwp=t...' numeric
@attribute '0.395 skrxp=t-0.368bkxbq=t+0.335wknck=t+0.301bxqsq=t+0.296thrsk=t...' numeric
@attribute '0.602 hdchk=t-0.359bkxbq=t-0.301wknck=t-0.253katri=b+0.22 skach=t...' numeric
@attribute '-0.309bkblk=t-0.301skewr=f+0.28 wknck=t-0.27rimmx=t-0.264reskr=t...' numeric
@attribute outcome {won,nowin}

@data
1.223317,0.578772,0.207043,-0.380374,-0.138248,nowin
-0.910222,-1.521265,1.166065,-0.266839,-0.345307,nowin
0.960501,-0.210638,-1.259736,-0.719997,0.674924,nowin
-0.453276,-1.958987,-0.051344,-0.811853,-1.9912,won
-1.31449,-0.343743,0.015389,0.940605,-0.691597,won
1.282743,0.536411,1.267517,0.395125,-0.018786,nowin
-0.092204,-2.984541,2.272437,-1.155968,-0.091688,nowin
-0.570526,1.445945,-1.115831,0.221516,0.312695,won
-0.14337,-0.29748,-1.363518,-0.167015,-0.215044,won
-1.086997,-0.957883,0.782714,-1.043083,-0.200371,nowin
-0.671203,0.817789,-0.232225,0.599979,1.494726,won
0.384202,-0.744414,2.043865,-0.38559,1.335214,won
0.449183,1.856183,0.653226,0.175802,-0.129202,nowin
1.067157,0.115841,0.221808,1.110045,0.533869,nowin
-1.375594,1.2664,-0.37185,0.521076,0.47814,won
1.094384,0.947103,0.586173,0.86117,-1.328202,nowin
-0.050991,-2.528909,-0.60503,-2.165853,-1.625282,nowin
-1.539119,0.647896,-0.381695,-1.175912,0.396863,nowin
-1.620749,-0.313158,3.206464,-0.131903,0.772334,nowin
-1.132392,-1.310541,1.478605,-0.197516,0.661761,nowin
0.521512,1.498713,0.224318,0.223582,0.309041,nowin
-1.781644,3.076833,-0.771443,-0.355478,0.105743,won
-0.478986,0.820021,-0.455794,0.196887,0.316684,won
-1.145192,1.571718,-0.459905,0.61839,0.731456,nowin
-1.025855,0.245562,-0.13758,0.850379,1.321755,won
0.966286,-2.153687,-1.433315,-1.889656,1.205879,nowin
-2.074027,-0.655783,1.81897,1.59505,-1.574244,won
0.227969,-0.31082,1.948591,-0.342342,1.470794,won
0.496561,1.021608,0.005475,0.828869,0.131973,won
-0.004234,0.260196,0.957938,1.27544,-1.612533,won
-0.428254,0.049008,-0.225828,0.831789,-0.050979,won
1.036117,0.952486,0.329895,-0.205131,0.819725,nowin
-0.708386,-0.439833,-0.606169,0.416739,0.217199,won
-0.442947,0.191469,-0.651807,0.487554,-0.822701,won
-1.050138,-0.721459,-0.993277,-0.124058,-1.414337,won
-0.172325,0.205568,-0.702077,0.483686,-0.170862,won
0.66354,-1.282804,-0.60808,-0.277337,-0.292891,nowin
-0.517183,0.319044,0.043792,0.689415,0.801529,won
-0.264463,3.157867,0.629652,0.176182,-0.654557,won
3.651883,-7.559424,-3.684563,9.644172,-0.121893,nowin
0.182872,-0.5439,-0.958857,-0.939494,0.724047,won
-0.695407,0.018741,0.743851,0.197813,-0.564515,won
-0.64744,0.004419,0.275376,0.907675,-0.789833,won
-3.289974,-1.939062,0.509818,-1.487677,0.56256,nowin
-2.050335,0.940492,-0.165155,0.170861,-0.343246,won
-0.553294,0.086759,1.31077,1.180434,-0.702629,won
0.668998,1.608325,0.476147,-1.039107,-0.023108,won
-0.321824,0.108173,-1.274063,-0.077464,-0.027936,won
0.464948,-0.086628,0.030911,-0.091865,0.150275,nowin
-1.244191,0.911408,-0.390024,-1.305176,0.601436,nowin
-1.244218,-2.929883,-0.61921,-1.13099,-0.487557,won
2.149226,0.678955,-1.096475,-0.197698,-1.240029,nowin
-0.556945,-3.300733,0.125294,-1.970069,-0.148739,nowin
1.436202,0.62412,2.141804,-0.275044,0.87168,nowin
0.685107,0.109748,-0.958359,-0.701329,0.327557,nowin
0.267518,1.21573,-1.316757,0.008251,-0.210587,won
0.649128,0.521641,1.426293,1.085437,-0.70109,nowin
1.556881,1.047753,0.85023,0.089397,0.449589,nowin
-2.514356,-0.234692,-1.049839,2.633866,0.253751,won
-1.908979,1.389034,-1.250813,-0.142568,-0.221031,won
-0.006177,0.291763,0.348512,0.842861,-1.306939,won
2.59888,-0.192366,-0.267176,-0.116917,0.43032,nowin
1.749126,0.539061,0.229036,-0.484709,0.745374,nowin
2.143021,1.069745,1.394797,0.214607,0.542983,nowin
0.342787,-0.598832,0.741838,-0.00967,0.43733,nowin
-0.374362,0.098202,0.772845,-0.018682,0.278319,nowin
0.719419,2.252381,-0.629826,0.062869,-0.314728,nowin
2.205885,0.603641,0.500622,-0.739457,0.193818,nowin
-0.736561,2.160633,-0.635471,0.334356,0.554004,nowin
0.612444,0.638027,-0.769506,-0.944238,-0.258608,nowin
-0.185264,1.031323,0.169498,0.433521,1.057804,nowin
-1.937195,-1.612991,0.567559,-0.512631,-0.786568,nowin
-0.819448,1.821559,-0.713146,-0.194285,0.011117,won
-0.188486,-1.946823,1.923958,0.082728,-0.402247,nowin
0.61579,-0.095253,-0.602771,0.213429,0.732511,nowin
3.143408,-1.107463,2.956408,-0.873603,-0.806975,won
-0.423733,-0.607625,-1.355569,0.275675,-0.06195,won
1.310552,2.249993,-1.178388,-0.832809,-1.307712,won
-2.908719,-2.665515,0.854721,-1.012836,0.369201,nowin
3.599001,1.161493,1.400442,-0.05688,-0.32575,nowin
0.561935,-0.182406,-0.435636,-1.003131,0.933034,nowin
-0.842476,0.343074,-0.951283,-0.820508,-0.271415,won
0.837159,0.788883,-0.172706,0.283146,-0.67563,nowin
0.073899,0.093914,-0.048619,-0.063603,-0.208699,nowin
-0.624844,1.424556,0.858605,-0.004118,-0.074793,nowin
-0.173622,-0.789576,2.268283,-0.489859,0.321793,nowin
0.372623,-0.454244,-0.382329,0.502833,-1.325961,nowin
-0.678889,-0.373137,-0.302778,0.430524,0.485832,won
0.366257,-0.006107,-1.290333,-0.502874,-0.334195,won
-2.748619,-0.140167,0.689263,-0.412572,0.983212,nowin
2.119036,-1.614103,0.318149,-0.958396,1.407545,nowin
0.690568,1.158547,-0.34627,0.251065,0.265266,won
1.105054,0.281986,0.717032,0.695044,0.125859,nowin
0.02639,-4.038454,1.252031,-1.026954,0.00073,nowin
-2.024435,1.92367,-0.592527,-0.228285,0.997764,won
-0.38238,-0.399929,-0.665491,0.769124,-0.143794,won
-0.084113,-0.260065,0.383743,-0.186871,1.060179,won
2.638635,-1.154633,-0.53387,-1.122004,0.431413,nowin
-0.148126,-1.070468,-2.135788,-0.055819,0.88577,won
-0.112301,-0.272442,3.312487,1.415274,-1.14793,won
-2.599205,1.300699,-0.139889,0.182845,1.768267,won
0.467444,-0.107737,-0.346926,0.633241,-1.176639,won
1.320291,-0.529017,0.110916,-0.720465,1.764662,nowin
-1.715365,1.138826,-1.252949,-0.233139,0.569851,won
-0.499762,-0.635318,4.144192,0.821288,0.633805,won
1.295518,0.940846,0.584898,-0.457995,0.606451,nowin
1.280768,-2.021176,0.090891,-0.139719,0.541608,nowin
-1.554947,0.929365,-0.711287,-0.077036,0.513015,won
-0.197852,0.354326,-0.313883,0.929104,0.202337,nowin
-1.090805,-1.243988,1.080564,1.320735,-0.659546,won
0.050697,-3.789043,1.293973,-1.152351,-0.446535,nowin
0.471544,-0.46271,-1.661036,-0.519189,0.105857,won
-0.422494,1.500164,-0.997881,0.060314,-0.783742,won
0.267662,0.452029,1.078016,1.433768,-0.687498,won
-1.587905,0.410207,-0.028743,0.790735,-0.937985,won
