@RELATION bcica10
@ATTRIBUTE ica0     REAL
@ATTRIBUTE ica1     REAL
@ATTRIBUTE ica2     REAL
@ATTRIBUTE ica3     REAL
@ATTRIBUTE ica4     REAL
@ATTRIBUTE ica5     REAL
@ATTRIBUTE ica6     REAL
@ATTRIBUTE ica7     REAL
@ATTRIBUTE ica8     REAL
@ATTRIBUTE ica9     REAL
@ATTRIBUTE class    {0.000000,1.000000}

@DATA
0.233341, 0.298595, -0.728693, -3.474170, 1.065873, 3.658473, 0.786217, -0.802505, 0.967567, 1.345410,0.000000
-0.241504, -0.145428, 0.708747, 2.280127, 0.135204, 0.882257, 0.241280, 0.082520, -0.643002, 0.274459,0.000000
0.741062, 0.255935, 0.038168, 1.226051, -0.120217, -0.081713, -1.076089, 0.485118, -1.555899, -0.857895,0.000000
0.125535, 0.283390, 1.040141, -0.568981, 1.106286, -2.374036, 0.015652, 1.056983, -3.587100, 3.488636,0.000000
0.569202, -0.466469, -0.558753, 1.421036, -1.776374, -1.206484, 0.320294, -0.748708, 2.993364, -0.764879,0.000000
-0.117419, 0.001121, -0.415598, -0.383238, -0.200107, -0.447413, 0.636159, 0.134690, -1.203336, 0.231226,0.000000
-0.552477, 0.176011, -0.248955, 0.526255, 0.675960, 0.612679, -0.239068, -0.258312, 1.022786, 1.014574,0.000000
-0.193700, 0.025026, 0.314988, -1.104520, -0.185997, -0.127755, 0.200652, -0.240381, 0.254027, -0.860169,0.000000
-0.186394, 0.208959, -0.409010, -0.298167, -0.112516, -0.378340, 0.632015, 0.009902, -0.180167, 0.076017,0.000000
-0.047585, 0.300946, 0.000702, 0.296038, -0.933824, -0.396751, 2.582588, 1.553947, -4.130174, -0.850949,0.000000
-0.215864, 0.123349, -0.009241, -0.179950, -0.593066, 0.367296, -0.012512, 0.552953, -0.246588, 0.135671,0.000000
-0.304177, -0.109386, -0.033099, -0.062665, -0.685042, 0.319753, 0.485641, -0.425877, -1.575440, 0.269220,0.000000
0.350691, 0.778662, 12.518145, -0.478681, 1.284710, -0.263167, 1.347159, 3.947581, 4.167974, 0.151598,0.000000
